# FILE DATA
ID : MDRW2100017173
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 남성
birthplace : 전남
principal_residence : 전남
current_residence : 서울
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 인천
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 이게 선배 후배 상관없이
P1 	: 유니폼이 다 같잖아요
P0 	: 맞아요
P1 	: 다 처음 만난 사이라
P1 	: 그냥 명찰만 보고
P1 	: &name3&씨 이랬는데
P0 	: 혼났나요
P1 	: 선배님이었던 거에요 ㅋㅋㅋㅋ
P0 	: 허걱
P1 	: 하늘 같은 선배님한테
P1 	: 감히 씨 라고 하냐고
P0 	: 서늘하셨겠어요..
P1 	: 네 좀...
P1 	: 그 다음부터는 무조건 선배님 했는데
P1 	: 다음에 만난 한국인분들은
P0 	: 그런거 보면 좀 참.. 악습같아요
P0 	: 네네
P1 	: 부담스럽다고 그냥 씨... 라고 하라고
P1 	: 이게 사람마다 좀 다른 것 같아요
P1 	: 전 이런거 별로 신경안써서
P1 	: 아..국내 다니면 힘들었겠네
P1 	: 했어요
P0 	: 그럴거같아요
P0 	: 약간 숨막히네요
P0 	: 그런 분위기들
P1 	: 남자들이 더 예민하지않나요?
P0 	: 그렇긴해요.. 수직적 문화 워낙 좋아하는 인간들이라ㅋㅋ
P1 	: 남자분들도 서열 심할 거 같아요 ㅎㅎ
P1 	: 직장에서도 그럴 거 같아요 ㅎㅎ
P0 	: 더하면 더 했지 덜하지는 않는 것 같아요ㅎ
