# FILE DATA
ID : MDRW2100017046
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 식음료

# SPEAKER_INFO
id : 1
age : 10대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 어제 먹었는데 또 먹고 싶어
P1 	: 나도 마라탕
P1 	: 나아도
P0 	: 마라탕 몇 단계로 먹어?
P1 	: 난 2단계?
P0 	: 2단계가 제일 적당한 거 같아
P0 	: 나 3단계 울면서 먹었어
P0 	: ㅋㅋㅋㅋㅋㅋ
P1 	: 앜ㅋㅋㅋㅋ
P1 	: 나중에 청량리에 있는
P1 	: 로운샤브가서
P1 	: 홍탕으로 ㄱ?
P0 	: 맛있겠다
P0 	: 거기 또 가고 싶었어
P1 	: 가자가자
P0 	: 월남쌈도 먹고 싶다
P0 	: 마라탕 매장은 보통 어디로 가?
P1 	: 나 그냥 애들이랑 같이 가던곳 아니면
P1 	: 지나가다가 보이는 곳
P0 	: 학교 근처에도 있어?
P1 	: 엉엉
P1 	: 안양1번가에 있음
P0 	: 좋다!
P0 	: 나 방금 3000원 쿠폰 받았는데 마라탕 시킬까 말까...
P1 	: 앜ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 어제 먹었다며
P0 	: 맞아...
P0 	: 참아야지
