# FILE DATA
ID : MDRW2100043488
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 30대
occupation : 서비스 종사자
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 무럭무럭 크고 있습니다 ㅋㅋ
P0 	: 힘들진 않으시고요?
P1 	: 둘째가 이런줄 몰랐어요
P1 	: 배도 더 빨리 나오고...
P1 	: 더 힘들어요
P0 	: 첫째는 어떤가요?
P1 	: 첫째는 이제 나름 사람 구실을 하려고 하네요 ㅋㅋ
P1 	: 하지만 자기 주장이 뚜렷해지고 ㅋㅋㅋ
P0 	: 샘내거나 하진 않고요?
P1 	: 아직은 눈에 보이지 않아서 그런지 ㅋㅋㅋ
P1 	: 괜찮아요 ㅋㅋㅋ
P0 	: 우리 큰애는 배 나오면서부터 질투를 했거든요
P1 	: 아 ㅋㅋㅋ
P1 	: 지금은 잘 지내죠?
P0 	: 그럼요. 둘째가 나온 직후가 전쟁통이었엉ㅅ
P0 	: 어요
P1 	: 아...걱정된다...
P1 	: 어느새 키우려나
P0 	: 우리 큰애는 막 소리를 미친듯이 지르면서
P0 	: 장난감을통을 집어 던지고
P1 	: 아...ㅠㅠ 힘드셨겠어요
P0 	: 책장을 쓰러뜨리고 그랬어요 ㅡ.ㅡ
P1 	: 진짜 둘 챙기는거 만만치 않을듯요
P0 	: 그래서 둘째를 괜히 낳았구나 싶었는데
P0 	: 둘째가 너무 예쁘고요
P1 	: 둘째는 사랑이라고
P0 	: 둘이 잘 놀아서 제 자유시간이 점점 길어져요
P1 	: 부럽습니다~
P0 	: 맞아요 둘째는 뭘 해도 예쁩니다
P0 	: 그리고 우리가 첫째 키우며 이미 단련이 됐잖아요
P0 	: 둘찌는 뭘 해도 예상 가능해서 좀 나아요
