# FILE DATA
ID : MDRW2100011766
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210824
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 클럽 연인끼리 가기도 하던데
P1 	: 그런데도 간다니 참 어떤곳인지
P1 	: 의문이네요
P0 	: 헐 진짜요?
P1 	: 네 남친이랑 간다는 이야기도 들어서
P0 	: 클럽 뭐하는곳인지 진짜 궁금해욬ㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋ
P1 	: 그거 아시나요
P0 	: 저는 코로나 터지고도 클럽 줄 길게 서는게 되게 희한햇어요
P1 	: 고등학생 전용 클럽
P0 	: 클럽가는게 인간의 필수욕구는 아니잖아요?
P1 	: 맞아요
P0 	: 고등학생 클럽ㅋㅋㅋㅋ 들어봤어요 탄산음료 판다고
P1 	: 학생증 들고가면 된다고
P1 	: ㅋㅋㅋㅋㅋ
P0 	: 학생증ㅋㅋㅋㅋㅋㅋ
P0 	: 뭐 그런걸 조기교육하는건지
P1 	: 그때 궁금해서 가볼까 했는데
P1 	: 안간 저를 칭찬합니다
P0 	: 클럽에선 어떤일이 벌어지는건지 정말 알수가없어요..
P0 	: 맞아요 잘하셨어요
P1 	: 미성년자인데 잘 관리 됐으면 좋겠어요
P1 	: 사실상 호기심에 가본 사람들이 많을텐데
P1 	: 그런곳이라니
P0 	: 너무 그... 위험부담이 큰거같아요
P0 	: 약물 얘기도 들어보셨죠
P1 	: 맞아요
P1 	: 네
P1 	: 그걸로 알게됐어요
P1 	: 진짜 충격적이었어요
P1 	: 사실상 성폭력 아닌가요?
P0 	: 도대체 클럽에서 뭐하는건지
P0 	: 그것이알고싶다에서 취재해주면좋겟어요
P0 	: 밤문화 폭로
P1 	: 맞아요
