# FILE DATA
ID : MDRW2100028589
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 여행

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기술직 종사자
sex : 남성
birthplace : 충북
principal_residence : 충북
current_residence : 울산
device : 스마트폰
keyboard : 천지인

id : 2
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 경기
device : 스마트폰
keyboard : 기타

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 여행지에서 하온 기억에 남는 기념품 있나요?
P0 	: 음 사실 여행가서 뭐 사갖고 오는거 좋아하지 않거든요
P0 	: 짐많아지는거 싫어서
P0 	: 가변운 간식거리나 조금 사오는 편이라
P0 	: 아 생각났다
P0 	: 영국갔다가 히스로공항에서 해롯백화점 곰인형 팔길래 사다가 친구 준 적 있어요
P0 	: 귀엽다고 엄청 좋아했어요
P0 	: &name2&은 기억에 남는 기념품 있나요?
P1 	: 저는 주로 마그넷을 사모았어요..
P1 	: 그래서 냉장고에 붙여놨죠
P1 	: 근데 그게 전기를 잡아먹는대요
P1 	: 그래서 다 빼서 지금  상자안에 보관하고 있어요..ㅎㅎ
P1 	: 정말 예쁜 쓰레기가 되었죠
P0 	: 아 저는 아내가 모아둔 마그넷이 있는데
P0 	: 모두 현관문에 붙여놓았어요
P1 	: 현관문.. 그거 좋은 생각이네요... 거긴 전기도 안먹고!
P0 	: 네 인테리어 효과도 있고 좋아요
P0 	: 여행은 주로 누구랑 가세요?
P1 	: 가족이랑 가는 경우가 많았어요
P1 	: &name1&은요?
P0 	: 저는 결혼전에는 주로 혼자다녔어요
P0 	: 결혼 후에는 아내랑 같이 다녀요
P1 	: 와.. 혼자 여행하는 건 뭘깡
P1 	: 저는 주로 남편과 다니고 가끔 애들도 포함해서 다니고요
P0 	: 혼자 여행하는거 편하고 자유로운건 좋은데
P0 	: 외롭고 쓸쓸하기도 하더라고요
P1 	: 전 여자라 그런지  한번도 혼자 여행을 안해봤거든요
P1 	: 그래서 좀 궁금했어요
P0 	: 여성이 혼자 여행하면 아무래도 더 위험하긴 하겠네요
P1 	: 네.. 그래서 항상 누군가와 같이 다녔어요
P1 	: 아내분도 &name1&과 같이 여행해서 좋을거에요
