# FILE DATA
ID : MDRW2100043117
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 경영/관리직
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 요즘 구입하신 상품 있으세요?
P1 	: 자외선차단제를 샀어요!!
P1 	: 올영 행사해서요
P0 	: 자외선 차단제 사셨군요!! 저도 사려고 했는데 차단제는 일제가 좋대서 사야되나 말아야되나 하고 있었어요
P1 	: 아?
P1 	: 그런 낭설이..
P1 	: 차단력이 제일 좋은건 유럽이랑 미국거에요
P0 	: 알리가 진짜 좋다고 그러더라고요
P0 	: 근데 차단력 좋은건 눈이 매워서 ㅠㅠ
P1 	: 사이판에서 30자리 샀었는데 보라카이에서도 안타더라구요
P1 	: 그쵸.. 맞아요.. 너무쎈건 아프죠..ㅠㅠㅠㅠㅠ
P1 	: 전 그나마 순하다고 하는 바이오더마 써요.. 트러블도 없고
P0 	: 아 바이오더마가 트러블이 없나보네요
P0 	: 저 국내꺼 써보다가 타는거 같길래 ㅜㅜ
P1 	: 전 국내게 안맞아서 결국..ㅎㅎ 아직 할인기간이에요..
P1 	: 질감같은거 확인해보는것도 괜찮을거 같아요.. 글구 썬크림은 자주 발라야하는거라 ㅠㅠ
P0 	: 맞아요 썬크림은 생필품이잖아요
P0 	: 귀찮아서 덧바르기 싫지만 ㅠㅠ
P1 	: 그쵸 귀찮어서 덧바르기 힘든데 바이오더마 자외선차단제는 로션같은 질감이라 부담이 적더라구요ㅋㅋ
P0 	: 오 저 로션같은 질감 좋아해요
P0 	: 건성이라
P0 	: 요즘에 또 계절 바뀌면서
P0 	: 각질 악!!!
P0 	: 힘듭니닼ㅋㅋㅋ
P1 	: ㅠㅜ 정말 힘들어요 ㅠㅜ 전 볼은 건성이고 이마는 지성이라 샴푸린스만 잘못 바꿔도 난리예요..
P0 	: 아 진짜 피곤하시겠어요 저도 이마는 약간 지성 같기도 해요 머리결은 건성이고 ㅠㅠ
P1 	: 저 머리는 곱슬기가있어서 푸석푸석... ㅎㅎㅎㅎ 포기예오
P0 	: 흑흑 머리 귀찮아요
P0 	: 다 없애버릴수도 없고요
