# FILE DATA
ID : MDRW2100039253
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 제주
principal_residence : 충북
current_residence : 충북
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 자수 도전해보셨어요?
P0 	: 그... 프랑스 자수였던가? 그런 거요
P1 	: 도전!!!! 은 안하고 이것도 관심만..ㅋㅋㅋ
P1 	: 자수로 식탁보 만드시는분 진짜 너무너무 이쁘던데요??? 보고 우와 했다가 제 손 보고 다시 어우
P0 	: ㅋㅋㅋㅋㅋㅋㅋ라임 맞추셨엌ㅋㅋㅋㅋㅋㅋ
P1 	: 알아주시니 뿌듯^^*
P0 	: 자수 저도 해보고 싶은데 도안 보고 덮었잖아요
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋ약간 비슷한 실력일 것같은 사람들 작품 봤는데
P1 	: 덮는게 현명하더라구요
P1 	: 항상 ((((생각만)))))
P0 	: 비슷한 실력일 것 같은 사람들 작품은 어떻게 찾으셨나요ㅋㅋㅋㅋㅋㅋ
P1 	: 첫자수 막 이런거 검색해봤는데
P1 	: 이야 나도 저정돈하겠다 하는걸 제 실력으로 생각하기로 했어요
P1 	: 그랬더니 음 아니야
P1 	: 역시 자수는 관심만
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ첫자숰ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 공예 외에 관심 가지는 건 없으세요?
P1 	: 그림?? 도 막 그려보고싶어서
P1 	: 패드는 있어가지고 3년전에 1세대 애플펜슬도 같이 샀었거든요
P1 	: 이번에 중고로 처리하면서 펜슬 안샀습니다
P1 	: 펜촉 완전 새것
P1 	: ㅠㅠㅠㅠㅠㅠㅠ
P0 	: 아ㅠㅠㅠ 근데 패드로 그리기 좀 어렵대요
P0 	: 미끌어지는 거 때문에
P1 	: 고수들은.. 잘만.. 그리던데... 시무룩
P1 	: 세상이 정보공유가 빨라서 너무 눈이 높아졌어요
P1 	: 에잇
P0 	: 그 분들은 도구를 가리지 않지만
P0 	: 저희같은 쪼렙은 도구를 타니까요ㅠㅠ
P1 	: 맞아요ㅠㅠㅠ
