# FILE DATA
ID : MDRW2100019706
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210827
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 음악 듣는거 좋아해요?
P1 	: 네네 유튜브 추천음악으로 ㅋㅋㅋ
P0 	: 오 그런게 있어요?
P0 	: 막 중간에 갑자기 광고나오고 그러진 않아요..?
P1 	: 사실 유튜브 프리미엄이라서
P1 	: 인공지능 스피커 주더라구요
P1 	: 그래서 구글 노래틀어줘~하면 암거나 틀어줘요
P0 	: 헐 프리미엄 구독하면 스피커를 줘요?
P0 	: 그것도 인공지능 스피커를요?
P1 	: 네 언제였지? 갑자기 프리미엄 구독자들은 신청하면 무료로 스피커 배송해준대서
P1 	: 역시 대기업은 다르다 하며 감탄했어요
P1 	: 한시적인 이벤트였어요
P0 	: 헐 ㅜㅜ 전 왜 전혀 몰랐죠... 아깝다.
P0 	: 그럼 노래는 유튜브에서만 들어요?ㅎㅎ
P1 	: 네ㅋㅋㅋ 근데 유튜브러 음악듣는게 멜론 이런데보다는 불편해요
P1 	: 가사 보고싶은데 가사 하나도 안뜨고
P1 	: 월드탑텐 이런거 틀면 대부분 인도음악이ㅋㅋㅋㅋㅋ
P0 	: 아 인도음악 ㅋㅋㅋ진짜 웃기네요
P0 	: 인도가 인구가 많아서 탑텐에 뜨나봐욬ㅋㅋㅋㅋ
P1 	: 네 진짜 드라이브한다고 차에서 틀면
P1 	: 인도음악이 울려퍼져서
P1 	: 뭔가 원하는 분위기가 아니고ㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ유튜브에 음악채널이 따로 있는거에요?
P0 	: 아니면 유튜버가 따로 올린 영상 트는거에요?
P1 	: 유튜브 뮤직 서비스가 있어요
P0 	: 그런것도 프리미엄 서비스 안에 포함이에요?
P1 	: 구글이 컨텐츠 사업 하려고 구글 뮤직같은 음원 서비스 만들었는데 구냥 유튜브 컨텐츠로 연계한거 같어요
P0 	: 그거 진짜 잘한 선택인 것 같아요 ㅎㅎ
