# FILE DATA
ID : MDRW2100007252
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 나 요즘 민초파우더랑 그린티 파우더 사서
P0 	: 내가 프라페 해먹고있어
P0 	: 나
P0 	: 민초파우더랑
P0 	: 그린티파우더 사서
P1 	: 와
P0 	: 프라페 해먹는즁
P1 	: 어디꺼삼
P1 	: 프라페 갈아서?
P0 	: 타코꺼
P1 	: 얼음갈아서?
P0 	: 쿠팡에서 팔길래 로켓배송으로
P1 	: 믹서기에?
P0 	: ㅇㅇ얼음이랑 우유랑
P0 	: ㅇㅇㅇ믹서기에!
P1 	: 설거지귀찬자나
P1 	: 민초그린티...하
P1 	: 민초가싫어요
P0 	: 설거지는 그냥 싱크대에 놔두곤 해요
P0 	: ㅋㅋㅋㅋㅋㅋ아니 민초가 왜ㅜ
P0 	: 민초맛잇는데
P1 	: 민초는너무
P1 	: 치약맛나요
P1 	: 자취생은 역시 다르네요
P0 	: ㅋㅋ방학이라 대구에 와사 해먹엇서
P0 	: 이제 다시 부산가야대지만ㅠ
P0 	: 헐... 치약이 민트맛인건데
P0 	: 선후관계모르시나요
P1 	: 아ㅎ언제부산에식사하러가세요?
P1 	: 민트는호불호가갈리죠
P1 	: 호불호음식~!
P0 	: 부산에 돼지국밥 먹으러 가려규요
P0 	: 흠.... 호불호 음식이긴한데
P0 	: 민초는 호가 더 많다구요!!
P1 	: 민초는 불~
P1 	: 부산에 돼지국밥 누구랑먹어
P0 	: 돼지국밥은 혼밥가능한 메뉴임
P0 	: 민초 호호 ㅡㅡ
P1 	: 맘터 신메뉴
P1 	: 맛잇음ㅋ
