# FILE DATA
ID : MDRW2100017174
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 10대
occupation : 학생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  주 3회 이상

P1 	: 좀 참다가
P1 	: 이번에 필름 감다가 찢었거든...
P0 	: 헐
P1 	: 그래서 다시 사고 싶어졌어
P0 	: 필름카메라?
P1 	: 아니 디지털!
P1 	: 필름카메라는 찍으면 바로 못보는게 좀 불편하더라고
P1 	: 필름 너무 비싸서
P0 	: 아하
P1 	: 필름 한 컷당
P1 	: 싸면 200원 비싸면 400원 가까이 되는 꼴이라서
P1 	: 흑흑
P0 	: 와 한장찍는데?
P1 	: 응...
P1 	: 거의 그정도야
P0 	: 비싸네...
P1 	: 갑자기ㅜ엄청 비싸졌어
P1 	: 필름 카메라는 중고거래 많이 하는데
P0 	: 갑자기 비싸졋다고?왜??
P0 	: 응
P1 	: 필름은 없더라고
P0 	: 아...
P1 	: 모르겠어 갑자기 몇년 사이에
P1 	: 몇천원씩 올랐대
P0 	: 덜덜
P1 	: 아무래도 폰 카메라가 너무 좋아져서 그런것도 있는것 같고
P0 	: 그건맞음
P0 	: 몇.년.사이에. 완전.좋아졌어
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 나 아는분이 사진 취미로 하시는데
P1 	: 제일 사진 잘 나오는 카메라가
P1 	: 폰카..
P0 	: 와ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 하긴
P0 	: 디지털카메라 좋은거보다
P0 	: 아이폰 최신모델사는게
P1 	: 맞아...
P0 	: 나을거같기도함ㅋㅋㅋㅋㅋㅋㅋ
