# FILE DATA
ID : MDRW2100006206
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 공연 및 관람>스포츠 경기 및 관람

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 그때 완전 언터쳐블이었어서
P1 	: 기대했는데
P0 	: 그래도 큰 부상은 아닌 것 같아서 다행이에요
P1 	: 팔꿈치를 삔거라네요
P0 	: 류현진은 또 승수 올렸더라구요
P0 	: 어깨부상 이후에도 잘 하는 거 보면 괴물은 괴물인가봐요
P1 	: 그러게요
P1 	: 저 류현진 유니폼 샀어요
P1 	: 국내복귀하면
P1 	: 입고 응원가려구요
P1 	: ㅎㅎ
P0 	: 토론토 유니폼이요?
P1 	: 네 ㅎㅎ
P1 	: 미국직구
P1 	: 미국가서 응원하고 싶었는데
P1 	: 코로나땜에ㅜㅜ
P0 	: 메이저리그 구장 가보고 싶었는데 시기를 못 맞춰서 미국 갔을 때 경기 못 보고 왔었어요
P0 	: 언젠가 한 번 가보고 싶네요 ㅎㅎ
P1 	: 헐
P1 	: 미국 가셨구나
P1 	: 저도 가보고 싶어요
P0 	: 지나가면서 경기장 외관만 슬쩍 봤었어요ㅋㅋ
P0 	: 일본 갔을 때 고시엔 가서 한신 경기 본 적은 있어요
P1 	: 오
P1 	: 진짜 야구 좋아하시는구나
P1 	: 전 일본가서 야구 볼 생각은 못했는데
P0 	: 상대팀 투수 잘한다 생각했었는데 나와서 찾아보니 오타니였어요ㅋㅋ
P1 	: 헐
P1 	: 오타니 지금 메이저리그 폭격중이자나요
P1 	: 오타니를 보시다니
