# FILE DATA
ID : MDRW2100018186
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 콘텐츠>도서, 잡지

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 아 스릴러라는 거였어요!
P0 	: 헐..
P0 	: 스릴라라니..
P0 	: 오매...
P0 	: 못하는게없네요 구작가 쵝오..
P0 	: 저는 은유적인걸 안좋아해수 시를 안읽거든요.
P0 	: &name2&이 말하시는 통찰력있는 글이 뭔지알겠어요
P0 	: 전 이해못하고 넘어가지만 그것마저도 좋더라고욬ㅋㅋㅋ
P1 	: 진짜 구작가 짱
P1 	: 그런거 원래 이해못하는맛으로 읽는거죠뭐
P1 	: 헤헤
P1 	: 저도 시 안읽었었는데
P1 	: 꽂히는 구절 골라읽는 재미루다가 하고았어요
P0 	: 그래서그런지 진심 &name2&님 일상글 넘 좋아요
P0 	: 소설읽는것같아요 ㅋㅋㅌ
P1 	: ㅋㅋㅋㅋ그 문장 같은 거 찍어올리는 거 땜에
P1 	: 이웃분들이 많이 물어보시도라고요
P1 	: 책 뭐냐고!
P1 	: 앗 글 말씀하시는거였구나
P1 	: 헉스바뤼
P0 	: ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 필사짬느껴집니다
P1 	: 필사 진짜 넘좋아요
P1 	: 새취미로 필사 데려가세요
P0 	: 외워서하세요?
P1 	: 아뇨아뇨 절대
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 아하아하
P0 	: ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 보면서 하구 근데 너무 좋아서 자꾸보니까 와워지는 것도 있긴 해요
P0 	: 그거생각하면 머리가아파요
P0 	: 우와
P1 	: 근데 필사가 뭘 목적으로 하려는 건 아니고
P1 	: 그냥 좋았던 문장 나중에 모아보려고 하는 거라서
P0 	: 아하~~
P1 	: 타이핑도 충분히 필사로 볼 수 있다고 하더라구요
P1 	: 진짜 너무좋아요 필사!
P0 	: 타이핑으로 하세요?
P1 	: 둘 다 해요
P1 	: 타이핑으로 모으기도 하고
P0 	: 아하
P1 	: 너무 마음을 때린 문장은 적기도 하구요
P1 	: 적는 거 손아프니깐~^^
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 맞아요 손아파서 일기도 블로그에쓰니깐요
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ공감
P1 	: &name1&님 손으로 하는 취미 좋아하시잖아요!!
P0 	: 네네
P0 	: 글쓰는걸 젤좋아하는것같아요
P0 	: 근데 잘쓰고싶진않아요. 욕심생기는순간 힘들어지니깐 ㅋㅋㅋ
P1 	: 우와 글쓰는 것도 좋아하시는구나
P1 	: 멋진여인
P1 	: 저도 글쓰는 거 취미로 시작했었는데
P1 	: 진짜 써버릇할때랑 안쓸때랑 표현력이 달라지는 게 느껴져서 만족스러워요!
P0 	: 그
P1 	: 네네
P0 	: 책도내지않으셨나요 다른분인가
P1 	: 오 전 책은 안냈어요! 내면좋갰네욬ㅋㅋㅋㅋ파이프라인{emoji:♡}
P0 	: 진심낼수있을것같아요
P0 	: 나중에 텀블벅하셔도될것같은제
P0 	: 데
P1 	: 헉스
P0 	: 감성넘좋아요
P1 	: 감사해요!
P1 	: 처음들어봐요
P0 	: 첨듣는다니! 완전의외입니다
P0 	: 어떤거 내시고싶어요?
P0 	: 제 동생은 혼자소설도쓰더라고요
