# FILE DATA
ID : MDRW2100042188
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210906
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 40대 이상
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 전남
principal_residence : 전남
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 집에 와서 밥차리고 애먹이니
	  8시네요. ㅋ
	  날마다 외식하고 싶어요.ㅎ
P1 	: 맞아요 집안일은 사실 해도해도 끝이없죠
P0 	: 퇴근 후
	  다 귀찮은데 밥은 먹어야하니 참 번거롭네요.ㅎ 아이를 굶길 수도 없고요. ㅎ
	  님은 방청소는 직접 하시나요?^^;
	  (전 예전에 꽤 오래 엄마가 해주셨어요.ㅋ)
P1 	: 사실 저는 제가 직접하는데 엄마는 부족하다고 제 방을 청소하세요ㅋㅋㅋ
P0 	: 그리고 책상 위에 뭐 없어진 거 엄마한테 큰 소리로 물어보고..ㅎ
	  결혼하고 분가 직전까지
	   아님 분가해서도 자식에게 마음을 쓰시더라구요.
P1 	: 그러니까요 사실 제 눈에는 깨끗한 것 같은데 엄마 눈에는 성에 안차시나봐여
P0 	: 그러다 결혼하고 내 살림하면
	  엄마의 살림이 눈에 안찬다고 하더라구요.
	  
	  청소, 빨래, 설거지 중
	  같은 수고비를 받는다면 뭐가 낫겠어요?
P1 	: 공감합니다
P0 	: 저는 빨래가 가장 쉽네요.
	  청소 너무 싫어요.ㅋ
P1 	: 저도요 저는 특히 화장실이랑 설거지는 정말 하기 싫어요ㅠㅠ
P0 	: 화장실 곰팡이 더러움.ㅠ
	  집안일은 돈을 많이 준다면 조금 하고 싶기도 합니다. ㅎ
P1 	: 맞아요 화장실은 청소를 제대로 하려면 락스를 사용해야하는데 그럼 냄새가 정말 싫죠
P1 	: 뭔가 하루를 고생으로 끝내고 싶지 않아서 그런 것 같기도 해요
P0 	: 마음 맞는 룸메이트랑 단둘이 살고 싶네요.
	  집안일, 육아 없이. ㅋ
