# FILE DATA
ID : MDRW2100014240
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 강원
principal_residence : 강원
current_residence : 강원
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 강원
principal_residence : 강원
current_residence : 강원
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  기타>그 외 사회적 관계
intimacy  :  5
contact_frequency  :  주 1회 미만

P1 	: 쇼핑이라
P0 	: 가을옷 사기 딱좋은 시기같지않아?
P1 	: 인정 맞아 요즘에 계속 찾아보는중
P1 	: 뭘 사야할지 모르겠아
P0 	: 나는 이번년은 옷 안사려고...ㅎㅎ 사고 싶은 옷은 많다.
P1 	: 어떤 거 사고싶은데?
P0 	: 빵캡모자,머플러, 하얀자켓, 90년대 셔츠, 등등...
P1 	: 90년대 셔츠는 모야?
P0 	: 엄... 살짝 그 시절? 셔츠?
P1 	: 오 빈티지?
P0 	: 빈티지 호호...
P1 	: 허홍
P1 	: 하얀자켓은 왜?
P0 	: 한번쯤 사보고 싶었어ㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 난 후드티 사고싶드라
P0 	: 오오~~~ 좋지 후드티
P1 	: 날이 또 언제 추워질지 몰라서 고민돼 뭘 사야할짘ㅋㅋㅋㅋ
P0 	: 요즘 날씨가 이러니...아휴
P1 	: 완전 띠요용이야
P1 	: 나 맞아 최근에 컨버스 뮬 선물 받암ㅅ어
P1 	: 편하더라구
P0 	: 오오.... 굳이네
P1 	: 너 당근마켓해본 적 있냐
P0 	: 없다...! 너는 당근러 아녀?
P1 	: 많이 했었지 ㅌㅋㅋㅋㅋㅋㅋ 용돈벌이였음
P1 	: 근데 요즘 팔 게 없어서 안하고있어
P0 	: 오... 나도 팔거 팔아야하는데ㅋㅋㅋㅋㅋㄲ
P1 	: 오 뭐 팔게!!
P0 	: 아이돌 굿즈!
P1 	: 그거 예전부터 판다하지 않았냨ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 얼른 청산혀
