# FILE DATA
ID : MDRW2100028192
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 콘텐츠>도서, 잡지

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  기타>그 외 사회적 관계
intimacy  :  5
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 피프티피플이 딱 그래
P1 	: 진짜 주인공이 50명이거든
P1 	: 옴니버스같은데? 또 다른 내용에도 얽혀서 나오고
P1 	: 누구누구 헤어졌다며? 그 남자친구가 누구라던데에 나온 남자친구가 또 주인공으로 나중에 나와
P0 	: 오...
P0 	: 약간 여기서 이런 말 해도 되나
P0 	: &name3&언니 아는 친구 중에서
P0 	: 다코야키 좋아하시는 분 있잖아
P0 	: 그분이 커뮤니티 만든거 주제가 그거랑 비슷했어
P0 	: 소설 주인공들이 마지막권에서 총집합한다는
P1 	: 맞아
P1 	: 이것도 마지막에 보면
P1 	: 결국 사실은 다들 모이는 연계점이 생겨
P1 	: 그럼 뭔가 이야기가 좀더 생생한 것 같아
P0 	: 오... 본인 소설에서 그런 기믹을 적용한단 말이야?
P0 	: 진짜 대단한 작가님인데
P1 	: 대단하지
P1 	: 이야기 마다 몇몇씩 자꾸 등장하는 것도 좋아
P1 	: 진짜 똑똑한듯
P0 	: 이건 팬들 좋아할만하다
P0 	: 나도 까메오출연 이런거 좋아하는데
P0 	: 소설 인물이 다른 곳에서 나오는건 매력적이야
P1 	: 한 소설 속에서긴 하지만
P1 	: 어쨌든 50편의 단편이니까!
P0 	: 그래도 좋아
P0 	: 나도 난중에 책읽고 싶어지면 봐야지
P0 	: 피프티피플이었지
P1 	: 인천에 있었으면 빌려주는건데
P0 	: 흡 아냐 난 책 빌려 읽는거보다 내가 직접 사서 읽는걸 좋아해
P1 	: 나는 둘 다 좋아
P1 	: 일단 그냥 궁금만하면 먼저 읽어보고 사기도 하고
P0 	: 난 내 소유인 뭔가가 좋은가바
P1 	: 그건 나도 그래...그래서 이제 슬슬 책장이 버거워해
