# FILE DATA
ID : MDRW2100021276
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 필라테스해봤어?
P0 	: 운동하나끊어서 운동스터디하자
P0 	: 벌금작게 500원씩하면되잔아
P1 	: 아니 필라테스 해보고싶긴한데
P1 	: 와타시..대인기피증이랄까...?
P0 	: 아...
P1 	: ㅋㅋㅋㅋㅋㅋ내가...거짓말치면...?
P1 	: 오백원이 아까워서
P1 	: 운동을 안가놓고
P1 	: 가는 척 하는거지
P0 	: 걸음수로 걷기하자
P0 	: 그럼 폰으로 인증가능
P0 	: 하루8000보씩
P1 	: 오 그정도는 할 수 있을거같아
P1 	: 근데 맨날은 싫어
P1 	: 우리 비오는날 이런 날은 빼고
P1 	: 어때
P0 	: 주3회만하자
P0 	: 당연
P0 	: 그럼 주3회?4회?하고 일주일에 비가 2일이상오면 그주는무효어때?
P0 	: 갑자기 좀 귀찬은거같기도하고...
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 나도...지킬 수  있을까 싶은 생각부터 들어
P1 	: 삼성헬스 보니까 내가 평균 4500걷는대
P1 	: 8천에 어림도 없는 수치지...
P0 	: ㅎㅎ폰하는것도 일종의 운동아닐까?
P0 	: 손가락을 열심히 움직여 건강을 지키는 것이지 *^^*
P0 	: 아맞다 너 skt야? skt는 하루에 8000보걸으면 100원줌
P1 	: 아니아니! 나 알뜰폰으로 바꿈
P1 	: 오 그럼 한달에 최대 3천원까지 벌 수 있는건가!
P1 	: 내가 손가락 운동 하나는 겁나 잘하쥐 ㅎ
P1 	: 누워잇는것도 잘해 맨날 누워있어서 등에 코어 근육 생겼을듯
P0 	: 아맞다 맨날 까먹네 ㅠ
P0 	: 근데 나도 깔아만놓고 8000보이상걷는날은
P0 	: 월3회...?^^
P0 	: 누워있으면 코어근육은 흩어진다구ㅠ
P1 	: ㅋㅋㅋㅋ까먹을수도 잇쥐~
P1 	: ㅋㅋㅋㅋㅋㅋ월 3회는 심햇다^^
P1 	: 앗 진짜??
P1 	: 야 근데 새삼스럽지만
P1 	: 내 허벅지 사이가 이제 안벌어진다
P1 	: 갑자기 진짜 운동해야하나싶어짐 ㅠ
P0 	: 아니 그것은
P0 	: 나는 원래 벌어진적이 없었는데
P1 	: 아니 진심
P1 	: 다리만 보면
P0 	: 언니가 이런말할때마다
P0 	: 박탈감들어
P1 	: 어디 뭐 70키로 직은 애 같애
P1 	: 찍은
P1 	: 진짜로...
P0 	: 진짜 이제
P0 	: 운동해야할나이다
