# FILE DATA
ID : MDRW2100026024
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 콘텐츠>도서, 잡지

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기술직 종사자
sex : 여성
birthplace : 대전
principal_residence : 대전
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 안녕하세요~! 요새 읽을만한 재미있는 신작이 있을까요?!
P1 	: 안녕하세요 신작인진 모르겠는데 숲과 별이 만날 때 읽고 있어요!
P0 	: 앗 처음 들어보는 제목이네요!
P0 	: 혹시 줄거리가 대략 어떤 내용인지 알 수 있을까요~!
P1 	: 아 저 사실 20페이지 밖에 못 읽었어요...
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅠㅠㅠㅠㅠ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 괜찮습니다ㅠㅠㅠㅋㅋㅋ
P0 	: 저도 묵혀놓고있는게 너무 많아서..
P0 	: 헤헥..
P1 	: 셀렉트에서 보는 거라
P1 	: 이제 5일 남았는데
P0 	: 아하~!
P1 	: 20페이지밖에 못 읽었...
P1 	: 어떤 장르 주로 보세요??
P0 	: 크악
P0 	: 화이팅이에요ㅠㅠ
P0 	: 저는 아무래도 요새 웹툰을 주로 보다보니까
P0 	: 슬슬 책을 다시 읽어야겠다는 생각이 들더라구요ㅠㅠㅋㅋ
P0 	: 그나마 요새 읽은건 가벼운 웹소설이에요ㅠ0ㅠㅋㅋ
P1 	: 앜ㅋㅋㅋㅋㅋㅋ 저도 주로 웹소설 많이 읽어섴ㅋㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋ크악 너무 반가워요
P1 	: ㅋㅋㅋㅋㅋ저도욬ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 전 주로 로판을 읽어섴ㅋㅋㅋㅋ
P0 	: 헉... 요새 괜찮은 게 있나요?! 제가 마지막으로 읽은 로판이 아도니스라 ㅠㅠㅋㅋ
P1 	: 모르는 책이네욬ㅋㅋㅋㅋ큐ㅠㅠ 저도 글케 많이 읽지 않고
P1 	: 좀 마이너 취향이라
P1 	: 전 최근에 읽은 게 상수리 나무 아래였어요...
P0 	: 아 너무 좋아요... 전 육아물이 취향이 아니라 ㅠㅠㅠ 요새 읽을거 찾아 헤매고 있거든요...
P0 	: 아
P0 	: 그거 찜해두고 있어요
P0 	: 세상에... 그렇게 핫하다는데
P0 	: 아도니스 재밌어요~! 여주가 완전... 머싯답니다... 로맨스가 찔끔 들어간 소설이라 혹시 여주판 좋아하신다면 잼께 읽으실 수 있을거에요 ~!
P1 	: 오오 글쿤요
P1 	: 네네 상수리 초반엔 좀 남주 버리고 싶었는데
P1 	: 전 외전부터 읽고 본편 읽어가지구...
P0 	: ㅋㅋㅋ아ㅠㅠㅠㅠㅠ남주야 ㅠㅠㅠ
P0 	: 볼때 참고..해야겠네요ㅠㅠㅋㅋ 감사합니다
P1 	: 네네 다들 하차한다는 댓글들이 주루루룩
P1 	: 근데 꾹 참고 읽다보면 여주맘이 되서
P1 	: 아이고 남주야! 아이고 탄서방!
P1 	: 이러게 돼요...
P0 	: ㅋㅋㅋㅋㅋ나중에 가면 좀
P0 	: 대형강아지 같아진다는 소식은 들엇는데
P0 	: 정말인가요..?!
P1 	: 초반에도 대형강아진데
P1 	: 남들이 보면 늑대야!?
P1 	: 하는... 그런 느낌이에요
P0 	: ㅋㅋㅋㅋ아 기엽네요
P0 	: 그정도면 오케오케
P0 	: 여주랑 케미만 잘 맞으면 예뻐해줄수잇어요 조아조아
P1 	: 좀 강압적이긴 한데
P1 	: 남주가 여주 찐사랑이라ㅠㅠㅜㅜ
P1 	: 초반에 좀 진입장벽 있어요
P1 	: 여주 성장물이라 여주맘 되서 우쭈쭈하게 돼요
P0 	: ㅠㅠㅠㅠ여주 성장물 너무 조아요 ㅠㅠㅠㅠㅠ
P0 	: 이건 만화책이두 한데ㅠ 혹시.. 새벽의 연화 아시나요...?!
P1 	: 아니요ㅠㅠㅠ 모르는 작품이에요ㅠㅜㅜ 흑흑
