# FILE DATA
ID : MDRW2100045887
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210908
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 해외/기타
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ어떻게 살아계시는건가요
P1 	: 대단해...
P1 	: 완전 녹초 될 것 같은데
P1 	: 저날 밥은 드셨나요
P0 	: 그 말이 수요일이었는데 수요일이 너무 싫었어요
P0 	: 그 날이 .
P0 	: 원래는 더 일찍 끝나야 되는데 6시 넘어서 끝나다 보니까 집 들어가면 9시 였어요
P0 	: 그래서 밥은 들어가다 지하철역에서 먹고 들어갔답니다ㅠㅠ
P1 	: 와... 진짜 스파르타 일정이었구나
P1 	: 학식이라도 맛있었다면
P1 	: 좋았으련만
P1 	: ㅋㅋㅋ말라빠진 돈까스가 잘못했네요
P0 	: 수요일만 그랬어요 수요일만...
P0 	: 그래도 수요일에 오전에 다른 실습 있어서 그거 대충 덥기도 하고 집 가는 길에 빵쪼가리 뜯어 먹기도 했네욬ㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋ빵
P1 	: 헉 제과제빵 하셨으면
P1 	: 안 드셔보신 빵들이 없나요
P0 	: 엄청 많아요 안 먹어 본게 너무 많아요
P0 	: 이것저것 배우다 보니까 올해 하지는 못 해서 크게 크기만 배운 거 같아요
P1 	: 그렇군요.. 하긴 간식 종류가 워낙 많아야지 싶기더 해요ㅋㅋㅋ
P1 	: 그래도 그 중에
P1 	: 가장 만족스러웠던 요리가 있나요!
P0 	: 1시 기요
P0 	: 이런...ㅠㅠ
P0 	: 한식이요
P0 	: 된장찌개 했는데 에이플 맞았거든요
P0 	: ㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋ한시 1시ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋ된찌 장인이셨군요!!!!
P0 	: 음성인식이 한식을 1시라고 표시해욬ㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ1식
P0 	: 된찌 장인은 아니고 어쩌다 보니 그렇게 됐어요
P0 	: ㅋㅋㅋㅋㅋ
P0 	: 1시....ㅠㅠ
P1 	: 넘 신기하다
