# FILE DATA
ID : MDRW2100005930
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 기타 사회 생활 및 활동>종교

# SPEAKER_INFO
id : 1
age : 10대
occupation : 학생
sex : 남성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 울산
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  3
contact_frequency  :  주 1회 미만

P1 	: 오오옹옹
P1 	: 그니까
P1 	: 너무 신기해
P1 	: 카르마라던가
P1 	: 후생이라던가
P1 	: reincarnation이 뭐였지
P1 	: 암튼그런거
P1 	: 뭔가 현생이 잦같은걸아는지
P0 	: 윤회?
P1 	: 업을 잘 쌓으면
P1 	: 오오오 맞아
P0 	: (검색해봄)
P1 	: 그런거
P0 	: 멋지다
P1 	: 후생없이
P1 	: 냅다 죽는거
P0 	: 영어가 먼저 나오는 거...
P1 	: 그게가장좋은거같아
P1 	: 아니야...
P1 	: 그냥어휘력이부족한거야...
P0 	: 불교에 지옥은 어떻게 해야 가는거야?
P0 	: 악행을 많이 해도 지옥을 가는거 아니라
P0 	: 미물로 환생하는 거 아닌가...?
P1 	: 흠
P1 	: 냅다 나쁘면
P1 	: 그러지않을까
P1 	: 막
P1 	: 애매한 나쁜짓하면
P1 	: 어디지옥가거나
P1 	: 가축으로환생하거나
P1 	: 그렇다던데
P1 	: 신과함께를보니깐...(머쓱
P0 	: 신과함께는
P0 	: 불교보다 도교에 좀 더 가까운거 아냐...??
P1 	: 오
P1 	: 그런것인가
