# FILE DATA
ID : MDRW2100046025
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210908
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 전남
principal_residence : 전남
current_residence : 강원
device : 태블릿/패드
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 빽다방은 아이스크림만 먹어봤는데
P0 	: 나쁘지 않았던 것 같아요
P0 	: 쥬씨도 분명 뭔가를 먹었는데 기억이 안 나요ㅋㅋㅋ
P1 	: 딸기바나나는 드셨겠죠? 이거 인기메뉴던데 저 여기에 코코넛 젤리 꼭 넣어먹어요
P0 	: 헉 딸바는 어딜 가도 사랑이죠
P0 	: 코코넛젤리도 좋아해요!
P0 	: 꼬들꼬들한 식감 너무 좋아요
P1 	: 맞아요. 여기꺼가 맛있는것 같아요
P0 	: 헉 진짜요? 쥬씨딸바에 코코넛은 한 번도 안 먹어봤는데
P0 	: 그렇게 말하시니 먹어보고싶어졌어요
P0 	: 침 나온다...
P1 	: 아 한번 드시면 500원 그까이꺼! 하실거에요
P0 	: ㅋㅋㅋㅋㅋㅋㅋ좋아요 영업당해부렀어요
P0 	: 딸바 코코펄 메모해둘거예요ㅋㅋㅋㅋㅋ
P0 	: 아! 저 뭐 먹었었는지 기억났엇
P0 	: 기억났어요 키위먹었나봐요
P1 	: 홍시도 맛있는거 아세요? 제철일 때 드세요
P1 	: 키위! 새콤한 맛이 강하죠?
P0 	: 홍시 진짜 맛있겠다 으악
P0 	: 마침 홍시철 돌아오는데 홍시주스 꼭 먹어볼게요
P0 	: 안 그래도 홍시 좋아하거든요!
P0 	: 키위 새콤달콤해요ㅋㅋㅋ 씨가 토독토독 씹히던데 드셔보셨어요?
P1 	: 아니요 키위주스는 아니요 이삭에서 먹고 그 뒤로 키위주스는 안 먹었어요. 키위가 저하고는 안 맞았던것 같아요
P1 	: 아 물론 골든키위는 먹어요
P0 	: 헉 알러지가 있으신가요..?
P1 	: 그건 아닌데 좋은 기억이 아니었던것 같아요
P0 	: ㅋㅋㅋ몹시..구리셨군요
P1 	: 앜 .. 들켰다 ㅎㅎ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 과일주스류를 좋아하시는 건가요!
P1 	: 네 달달한 음료는 다 좋아해요
P0 	: 뭔가 쥬씨 메뉴에 애정이 있어보이세요ㅋㅋㅋㅋ
