# FILE DATA
ID : MDRW2100008457
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 가좍
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 운동하시나요
P0 	: 네 저 최근에 시작했어요
P0 	: 원래 안했는데... 진짜 이러다간 40살에 계단도 오르락내리락 못할까봐
P0 	: 시작했어요
P1 	: 헐 뭐하세요?!
P1 	: 약간 의외(?)
P0 	: 아놔 왜 의외냐고요 그 사이에 이미지 어떻게 된거냐고요 저ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 홈트합니다^^! 샤크코치 12일 홈트 따라하라고 해서 시작했는데 저 1일차 하고 뻗었잖아요
P1 	: 아니 넘 힘든거 하신거 아니녀규욬ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 헐 12일 솔깃허네요
P1 	: 아니 얼마전에 홈트로 30키로 감량하신 분이 알고리즘에 뜨더라고요
P1 	: 그분은 뭘해도 될 분이다 싶었어요
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ근데 진짜 그 샤크코치 홈트 12일 하는게 있거든요? 저 그거했는데... 뭘 먹어도 안찐다는게 제일 신기했어요 건강검진 결과도 제작년에 비해 좋아졌다고요~~~~!
P0 	: 님은 왠지 운동하실고 같아요
P0 	: 와 홈트 30키로 가능한건가요?
P0 	: 진짜.... 세계를 이끌어나갈사람.
P1 	: 나도 12일 도전하겎어요
P1 	: 그니까요 그게 가능하녀구요
P1 	: 앗 맞어요 저 운동하는데
P1 	: PT받는데요... 그 한시간중에 40분은 정신교육 하고
P1 	: 20분 운동하는
P1 	: 40분동안 죄삼다...죄삼다..
P1 	: 열씸히 하겠슴다..
P0 	: 와 pt를 받으시는데 홈트를 왜.....왜하시죠?
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 저도 운동하면서...계속 지난날의 과오를 반성하명서 한다고요....
P0 	: 죄삼다....
P1 	: 아니 아침에 나오고 오후에도 나오라하는데 그럴바에는 홈트를(?)
P1 	: 샤크님..죄삼다...죄삼다
P1 	: 저는..진짜 너무 나태하게 살았슴다
P1 	: 급 반성타임
P1 	: 오후 4시라그런가 반성하게되네요
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아놔ㅋㅋㅋㅋㅋㅋ
P0 	: 님 혹시 만성적으로 가진 병있나요?
P0 	: 위염이나..장염 이런것들?
P0 	: 전 식도염과 거의 결혼했거든요 하,,
P1 	: 헉 저 얼마전에 역류성 식도염 생겼어요
P1 	: 이제 나이가 드는구나싶었죠
P1 	: 하 진짜 고해성사할게요
P1 	: 제가 얼마전부터 피똥을 쌉니다
P1 	: 만성질환 : 변비
P0 	: 님 피똥을 싼다고요? 병원가보셔야하는거아니냐고요..........
P0 	: 변비 진짜 너무 화나지않나요?
P0 	: 저 솔직히 변비때문에 너무 스트레스 받아요 물 조금만 적게 먹어도 바로오는 변비덕에 진짜 열받네요....
P1 	: 아직 3일 안채웠으니까 버텨봅니다
P1 	: 헐 물 안먹어서 변비 생기는 건가요?!!
P1 	: 전 제가 넘 많이먹어서 생기는 줄알았어요
P0 	: 피똥싸는데 버티기하지 말라고요ㅠㅋㅋㅋㅋㅋㅋㅋㅋㅋ 네!!!! 근데 그 전에 어떤 글을 봤는데 사람마다 물 흡수하는게 다르대요
P1 	: 코끼리만큼 먹어주겠다
P0 	: 물이 흡수가 잘되는 사람이 있고 또 어떤 사람은 물보다는 과일처럼 수분이 많은 음식을 먹어야 흡수가 되는 사람이 있다고 하더라고요
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 가을님은 아프면 바로 병원 가시나요
P0 	: 저...버티기합니다
P0 	: 아놔 남보고 가라고 해놓고 나는 버티고있네
P0 	: 근데 안가게 되지 않나요? 너무 죽을 것 같이 아픈 게 아니면?
P1 	: ㅇㄴ 님도 버티는 타입이었녀구욬ㅋㅋㅋㅋ
P1 	: 맞아요
P1 	: 근데 저 얼마전에 실비 새로들어서
P1 	: 약간 가고싶어요
P1 	: 이걸..가..말아
