# FILE DATA
ID : MDRW2100004281
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 서비스 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 모르는사람이
P1 	: 웅
P0 	: 본인 무교라고
P0 	: 얘기하기 시작하셨다
P0 	: ㅋㅋㄱㄲㅋㅋㅋ
P0 	: 쇼핑~
P1 	: ㄱㅇㄱ
P0 	: 내 곰돌이 크로스백
P1 	: 쇼핑~
P0 	: 언제 와???
P1 	: 개욱겨
P0 	: 내 폰케이스
P0 	: 언제와
P1 	: 그거언제와
P0 	: 왜 발송 안시켜줘
P1 	: 에 그건좀
P1 	: 아 나 사고싶은거너무많아서
P1 	: 쿠팡가야되나 싶은데아바가 쿠팡가지말래
P0 	: 왱?
P0 	: 확진자가 많이 나와서 그래?
P1 	: 아니 거기 갓다와서
P1 	: 건강에 안좋을거가ㅏㅌ다구
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅈㅋㅋㅋㅋ
P1 	: 옷이항 힌바
P0 	: 음 먼지가 많기는 하죠..
P1 	: 옷 신발ㄹㅇ샅애가
P0 	: 우리 주제
P1 	: 샅애
P1 	: 상태
