# FILE DATA
ID : MDRW2100035589
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 제일 좋아하는 음식이 뭔가요??!
P1 	: 생선초밥이요!
P0 	: 오 어떤 종류던 다 좋아하세요?
P1 	: 흠 다 먹어본게 아니라
P1 	: 잘모르겠어요
P1 	: 그래도 싱싱하기만 하면 별로 안가릴거같아요
P0 	: 아 그럼 특별히 좋아하는 맛도 없으신...?
P0 	: 저는 뭐니뭐니해도 연어가 맛있더라구여 ㅎㅎ
P1 	: 아하 그말씀이었군요
P1 	: 저는 흰살생선이 좋았어요
P1 	: 광어도미 그런거요
P0 	: 아~ 회보다 초밥 좋아하는 이유는 식사대용이라서 그런가요?
P0 	: 저는 둘다 좋아서요! ㅎㅎ
P1 	: 예쁘게 생겨서요
P1 	: 저도 회 좋아하긴 해요 ㅎㅎ
P0 	: 오 ㅋㅋㅋㅋㅋ
P0 	: 되게 의외의 대답이네요! 예쁘게 생겨서...
P1 	: 알록달록
P1 	: 정성많은 느낌이라 좋아요
P0 	: ㅋㅋㅋ 그렇긴해요! 밥을 주먹쥐고 잘돌돌말아서 회를 하나하나 올리고 정성이 많이 들어간것 같긴하네요
P0 	: 다른 음식들에 비해서
P1 	: 네 그것도 그렇고
P1 	: 음식재활용하기 어려울거 같아서 좋아요
P1 	: 며칠전에 해운대31해물칼국수였나 하는 집에 가서
P1 	: 해물칼국수 먹다가 휴지 나왔어요
P1 	: 혼자 가서 그런지 재활용음식을 끓여준거같더라구요
P0 	: 헐???????????
P0 	: 칼국수안에서 휴지가요?
P0 	: 어머나..
P0 	: 어으 진짜 불쾌하셨겠어요!!!!!
P0 	: 항의하셨나요???
P0 	: 완전 듣는입장에서도 화나요!!
