# FILE DATA
ID : MDRW2100006216
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 부산
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 남성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 원래 어렸을때부터 교회를 다녔는데
P1 	: 그래도 다른 종교를 접할 기회는 없었거든요
P0 	: 오 네네
P1 	: 그러다 우연히 종교사 관련 내용을 보게 됐는데
P1 	: 기독교가 이슬람교같은 다른 종교들이랑 공유하는 부분이 많더라고요
P1 	: 그 부분에 흥미를 느끼게 됐어요
P0 	: 오 네네 그런 역사젹인 부분이나
P0 	: 그런거 좀 심층적으로 탐구하는 그런 내용이겠네요
P1 	: 네
P1 	: 그리고 종교의 특성상
P1 	: 사상적인 부분이나 역사, 현대 국제정치 등등
P1 	: 많은 분야와 연관이 된 것에 흥미가 가더라고요
P0 	: 우왁ㅋㅋㅋㅋ저는 종교 역사 정치 이런거에 거의 문외한이라
P0 	: 대단한데요?
P0 	: 저는 고등학교 때까지는 제가 뭘 좋아하는지 감이 잘 안왓어서 불안했거든요
P1 	: 저희 집 식구들이 좀 그쪽 분야에 관심 있는 거 같아요 ㅋㅋㅋ
P1 	: 사실 아버지도 이과 나오셨는데
P1 	: 지금 취미로 철학과 박사과정 보내시는 중이시거든요
P1 	: 아빠 영향도 좀 받은 거 같아요
P0 	: 오, 맞아요 학과정하거나 하는게 그냥 생으로 보다는 주변 가족 친구 이런데서 영향 많이 받죠
P0 	: 아버닌 멋지신데요? ㅎㅎ철학과 과정 밟고 계신다니
P1 	: 요즘 논문 쓰고 계신거 같더라고요...
P0 	: 저희 아버지도 평생학습원? 뭐 이런데서 하는 인터넷 강의 듣고 하시더라구요
P0 	: 학위를 따로 받는건 아니지만 관심분야에서 오래도록 공부하시는거 멋진거 같아요
P1 	: 맞아요 본인이 하고싶은 거 계속 공부하는 거 너무 멋져요
P0 	: 종교학과는 나중에 직업으로는 어떻게 연계가 되나요?
P0 	: 잘 모르는 분야여서ㅎㅎ
P1 	: 사실 학계 말곤 직접 연관된 분야는 별로 없는 거 같아요...
P0 	: 아, 그럼 오랫동안 학계 남아있을 생각도 있겠네요
