# FILE DATA
ID : MDRW2100039822
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 10대
occupation : 학생
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 대전
principal_residence : 충남
current_residence : 충남
device : 스마트폰
keyboard : 단모음

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 구르메 ~~
P1 	: 빛은 사라지고 ~~~
P1 	: 창밖에 ~~ 유난히 내리는.~~~
P0 	: 달이 휘영청 빛나네
P0 	: 멋진 시조입니다.
P1 	: 아니 무슨 민요를
P1 	: 아니 저교
P1 	: 빗물소리만큼 ~~
P1 	: 시린 기억들이 ~~~~
P0 	: 뭔 노래인뎅6
P1 	: 내맘 ~~ 붙 잡고 잇ㄴ는 데 ~~~에 ~~~~~
P1 	: 갈수록 ~~ 짙어져 간 ~~~
P1 	: 그리움에 잠겨 ~~~~
P1 	: 시간을 거슬러 갈 순 업나요 ~~~~~~~
P0 	: 와아아
P0 	: 멋있다
P0 	: 다음 노래 ㄱ
P1 	: ㄱㅅ
P1 	: 님이 해보세욥
P0 	: 오랫동안
P1 	: 사귀었던
P1 	: 정든
P0 	: 내마음...엔...!
P1 	: 내 친구여 ~~~
P0 	: 구름가득...
P0 	: 비가..내려....
P0 	: 따아수한 햇살 비추길. ..
P1 	: 간절히 바랐죠
P0 	: 어깨룰 적신 빗방울 도
P1 	: 마르면 나만홀로
P0 	: 쬬
P1 	: ?
P1 	: 남겨 질 까 너무 나도 두려웠 죠
P0 	: 그댄 빛처럼
P0 	: 비갠뒤처러어어엄
P1 	: 내 마음에 떠오르죠 이렇게 ~~
P0 	: 커즈 유 알~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
P1 	: 내게 내린 빛과 ~~~~
P1 	: 우얄 ~~~
P0 	: u r~~~~~~~~~~~~~
P1 	: 너무 고운 ㄱ둠과 ~~~
P0 	: 일곱 빛으로 온 세상을
P0 	: 왠지 잠은 안 오고
P0 	: 사는 걱정에 뒤척이다
