# FILE DATA
ID : MDRW2100003484
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210820
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  직장>동기/동료/동업자
intimacy  :  3
contact_frequency  :  주 1회 미만

P0 	: 저녁은 드셨나영?
P1 	: 먹었쥬 ㅋㅋㅋㅋ 순두부로
P1 	: 때웠어욤
P0 	: 두 그릇 드셨어영?
P1 	: 한그릇..ㅋㅋㅋㅋ
P1 	: 소시지를 넘 많이해성
P1 	: ㅋ.ㅋ
P1 	: 배부르게먹었어염
P0 	: 맛있었겠네요:)
P0 	: 소시지하니까 비엔나 먹구싶네염ㅋㅋ
P1 	: 아침음 드셨어염???ㅋㅋ
P0 	: 아뇽ㅜㅜ 먹어야죠
P0 	: 배가 너무 고프네영
P0 	: 아침 드셨습니까?
P1 	: 아니영...
P1 	: 아침은 사치...
P1 	: 잠이최고..
P0 	: 데이트는 호캉스면 시켜드시나여?
P1 	: 그쳐 ㅋㅋㅋ
P1 	: 시켜먹어야졍
P0 	: 나쁜말이라고 전송이 안되었었네요ㅠㅠ
P0 	: 뭐 시켜드실건가용?
P1 	: 아이론 ㅋㅋㅋ
P1 	: 저..
P1 	: 글쎄여
P1 	: 초밥도먹고싶고
P1 	: 족발도
P1 	: 지금 배가고파서 다먹고싶은데..
P0 	: 다 맛있겠네요 ㅋㅋ
P0 	: 초밥은 못먹지만
	  뭔들 안맛있겠습니깡ㅋㅋ
