# FILE DATA
ID : MDRW2100024791
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210831
topic : 식음료

# SPEAKER_INFO
id : 1
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 거기도 비오나요?
P0 	: 여긴 비와서 칼국수먹었어요
P1 	: 네 비가 오네요ㅜㅜ 제법 추워요 이제
P1 	: 칼국수 맛있었겠네요!!
P1 	: 저는 집에서 아보카도에 비벼먹었어요 ㅋㅋㅋㅋ
P1 	: 사놓은게 있어서...
P0 	: 전 얼마전에 아보카도 첨먹어봤는데 첨엔 이거몬맛이야~~ 그러다 지금은 맛있더라구요
P0 	: 후숙이 중요한걸알았네요
P1 	: 맞아요 ㅋㅋㅋㅋ
P1 	: 처음엔 맛없어요 그냥 아무 맛도 안나요 ㅋㅋㅋㅋ
P1 	: 근데 점점 생각나요...
P0 	: 글게요. 다신먹지말아야지했는데 또샀어요^^
P1 	: ㅋㅋㅋㅋㅋ 공감되네요
P0 	: 출출한듯해서 지금 치킨 주문했네요~
P1 	: 부러워요...!
P1 	: 내일 스케줄 없으신가요??
P0 	: ㅋ 돼지친구하겠어요. 요즘 넘많ㅇ먹네요
P0 	: 요즘집에서 놀아요~
P1 	: 지금 치킨시키신 것보다 오늘 늦게 자고 내일 늦게 일어나실 수 있믄게 더 부럽네됴 ㅋㅋㅋㅋ ㅠㅠ
P0 	: ㅎ 요즘 집순이 놀이중이라~~ 밖에 나가서 활동하는게 무섭네요
P1 	: 저도 일 집 일 집 이에요 ㅋㅋㅋㅋ ㅜㅜ
P1 	: 내일 아침은 뭐드시나요??
P0 	: 거의 아침은 안먹어서...애들은 간단하게 시리얼이나 초코파이에 우유먹어요
P0 	: 점심만 잘챙겨먹어요
P0 	: 신랑이보연 언제 잘챙겨줬냐하겠지만요
P1 	: 아하 결혼하셨군요...!!
P1 	: 저는 하숙집에 살아서 하숙집 아침 먹어요 ㅋㅋㅋㅋ
P0 	: 네^^
P0 	: 남이해준밥이 좋아요~~
P1 	: 맞아요... 자취 비슷한 것도 해봤는데
P1 	: 진짜 맛없고 그냥... 하기도 귀찮고 해놓으면 먹기도 싫어요 ㅋㅋㅋㅋㅋ
P0 	: 자취는 혼자 챙겨드시기 힘들듯해요.
P1 	: 시간도 오래걸리구요ㅜㅜ
P1 	: 그래서 그냥 편의점 음식 많이 먹었죠ㅠㅠ
P0 	: 하숙하셔서 그나마 식사다운 식사하시겠네요
P1 	: 맞아요 여기 하숙이 밥이 제일 잘나와요 ㅎㅎㅎ
P0 	: 편의점이나 사먹는건 한계가있는듯해요
P1 	: 건강버리죠ㅜㅜ
P0 	: 잘먹어도 몸 상하는거같아요
P0 	: ㅎ 전 하루종일 뭐해먹나 고민해요
P0 	: 주부들의 젤 큰고민인거 같아요.
P1 	: 제가 자취할때 했던 고민이에요ㅠㅜㅠ 머리 터져요 정말...
P0 	: ㅎ 맞아요. 메뉴선택이 힘들어요
P1 	: 명엽채 아세요??
P1 	: 하숙집 아침은 매일 비슷한 반찬이 나오는데 보통 마른반찬이거든요!
P1 	: 오래둬도 돼서 그런가봐요
P1 	: 저는 명엽채 괜찮더라구요!
