# FILE DATA
ID : MDRW2100030488
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 나랏글

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ사용기간 올해말까지니 일단 쟁여두면 쓸모는 있겟네여...
P1 	: 그리고 영현이 하라메가 떴는데
P1 	: 얘네 진짜 외주 줬나봐
P1 	: 스제가 이런 애들이 아닌데
P1 	: 고맙긴 한데 당황스럽네
P0 	: 오..찾아봐야겠군여
P0 	: 얼마나다르길래
P1 	: 하라메를
P1 	: 라이브샘플러라고
P1 	: 곡마다 조금씩 라이브한걸
P1 	: 공연장 도착해서 무대 오르기 전-무대-무대가 끝난 후 하는 식으로
P1 	: 원테이크는 아니지만 그런 느낌으로 쭉 이어서 보여주는? 컨셉에 맞춰서
P1 	: 촬영을 해서.. 내놓앗어요...
P0 	: 오.......
P0 	: 오....
P0 	: 진짜웬열이리
P0 	: 스제웬일이야
P1 	: 입대 전 앨범이기도 하고
P1 	: 솔직히 데식 다섯명중에 굳이 개인 코어순위 따지면 상위인 것도 맞는데
P1 	: 그래도 이렇게까지 해줄줄은 몰랏는데...
P1 	: 기분 되게 이상하네
P0 	: ㅇㅇㅇ
P0 	: 웬일로 이렇ㄱ잘해주나여
P1 	: 그닉가여....
P1 	: 좀 적응 안되고
P0 	: ㅋㅋㅋㅋㄱ그래도 영현이 가기전에 신경써주니 고맙군여
P0 	: 뭐가됐든 잘해주면이득
P1 	: ㅋㅋㅋㅋㅋㅋ솔로 데뷔라 영현이도 긴장 엄청 하고 있던데
P1 	: 프로모션으로 힘 많이 실어주면 좋지..
P0 	: ㅇㅇㅇㅇㅇ
P0 	: 힘줘야지
P0 	: 첫솔로아닌가용
P1 	: 프로모션 성대하게 해줘서 더 긴장하는 걸수도 잇지만...
P1 	: 데식중에 제일 빠른 솔로져ㅇㅇ
P1 	: 영현이 개인으로도 오슷참여 이런거 말고 개인앨범으론 처음이고..
P0 	: 1ㅋㅋㅋㅋㄱㅋㅋ그라도 잘할거ㅇㅇ..
P0 	: 영현이는 똑띠니까
P1 	: ㅋㅋㅋㅋㅋㅋㅋ스트레스 너무 많이 받지만 않았으면 좋겠어여
P1 	: 너도 음악 오래 할거고 나도 오래 너 조아할건데 첫앨범이 전부가 아니니,,
P0 	: 이건시작이지
P0 	: 끝이아니니까
P0 	: 즐겁게활동했으면
