# FILE DATA
ID : MDRW2100024407
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210831
topic : 가사 및 가족

# SPEAKER_INFO
id : 1
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 경기
device : 스마트폰
keyboard : 기타

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 제가 그래도 요리하는 건 좋아하는 편이라서요.. &name2&님은 집에서 반찬해서 먹는 거 좋아하나요?
P1 	: 전... 요리를 잘 못해서요 ㅋㅋ
P1 	: 자취할땐 해서 먹기도 했는데
P0 	: 그렇군요.. 그럼 집안일 중에 자신 있는 건 뭔가요?
P1 	: 설거지?ㅋㅋ빠르고 깨끗하게
P0 	: 좋네요.. 설거지 중요하죠.. 전 요리를 좋아해서요..ㅎㅎ
P1 	: 요리 따로 배우신거에요?
P1 	: 아니면 레시피보고 독학?
P0 	: 저희 친정쪽이 요리를 잘해서 저도 덩달아 좀 하네요
P1 	: 역시 요리도 타고나야 하는거군요
P0 	: 그래도 하다보면 늘거에요
P1 	: 퇴근하고 집에가면 7시라
P1 	: 뭐 하기도 애매하고
P1 	: 힘드네요 ㅋ
P0 	: 맞아요.. 요새 맞벌이들은 요리할 시간 내기가 어렵죠
P0 	: 저야 전업주부니까 가능한거구요
P1 	: 비가 많이오는데 오늘 저녁엔 뭘하실거에요?
P0 	: 이런 날은 부침개를 먹고 싶네요
P1 	: 김치부침개?
P0 	: 김치전이 딱이죠
P0 	: 근데 집에 감자가 많아서 감자전을 먹어야하나 고민되네요
P1 	: 퇴근했어요
P1 	: 오늘 메뉴는 뭐였나요?
P0 	: 고민하다 뜬금없이 소불고기 먹게 되었답니다..ㅎㅎ
P1 	: 소불고기요?
P1 	: 맛있었겠네요ㅜㅜ
P1 	: 불고기 진짜 좋아하는데ㅜㅜ
P0 	: 고기는 항상 맛있죠 ㅎㅎ
P1 	: 어제 저녁엔 오징어볶음을 먹었어요
P1 	: 오늘점심은 국밥
P0 	: 국밥은 시켜 먹었나요?
P1 	: 아뇨 가서 먹었죠
P0 	: 식당가서 먹었군요
P0 	: 저는 요리를 좋아해서 거의 만들어먹어요
P1 	: 넵 가서 먹었어요
P1 	: 식구들이 좋아하겠네요
P0 	: 가정주부다 보니.. 해야죠..ㅎㅎ
P0 	: &name2&님은 집안일중에 어느 것이 가장 별로인가요?
P1 	: 빨.래요
P1 	: 빨래 너는게 싫어요
P1 	: ㅋㅋㅋㅋㅋ
P0 	: 저는 청소가 힘들더라구요
P0 	: 근데 요새는 세탁물이 안말라서 더 걱정이에요
P0 	: 빨래보다는
P1 	: 청소 꼼꼼하게 하면  진짜 힘들죠
P0 	: 코로나 이후로 꼼꼼히 해야하잖아요
P1 	: 그렇죠
P0 	: 살균까지
P1 	: 저희집도 엄마가 엄청 꼼꼼하게 하셔서
P0 	: 해야하니까
P1 	: ㅜㅜ
P0 	: 이게 가족 건강을 위해
P0 	: 안할수가 없어요
P1 	: 깔끔하시군여
