# FILE DATA
ID : MDRW2100045078
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210908
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 나랏글

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 유멬미때는 하지도 않은듯
P0 	: 저 스밍놓은지
P0 	: 너무오래도ㅒㅆ는데
P0 	: 일단 음싸는 하나있는게 편해서
P0 	: 멜론은 괘씸하고
P0 	: 스포티파이ㅡㄴ 비싸고
P0 	: 지니로...
P1 	: 스포티파이 그거
P1 	: 국내음원 제때 들어오긴 하나여...?
P1 	: 해외곡들 들을거면 괜찮을지 모르겠는데
P1 	: 국내음원 듣는 사람은 차라리 유튭뮤직을 쓰지
P0 	: ㄴㄴㄴㄴ
P1 	: 스포티파이 잘 안쓸거같은데
P0 	: 별로인것같음
P0 	: 곡없는것도많대
P1 	: 그럴거같아...
P1 	: 멜지플벅같은
P1 	: 음원 사이트 쓰거나
P0 	: ㅇㅇㅇ
P1 	: 아예 유튭뮤직 쓰거나
P0 	: 유툽뮤직쓸까
P1 	: 둘중 하나인 느낌
P1 	: 요새는..
P0 	: 어차피 프리미엄인데...
P0 	: 저는프리미엄
P1 	: 프리미엄이면 유튭뮤직 포함 되지 않아여?.
P1 	: 아닌가
P0 	: 6개월ㅇ라
P0 	: 포함 ㅇㅇ
P1 	: ㅇㅇㅇㅇ
P0 	: 그래서
P0 	: 좀 그거를 써봐야겠어
