# FILE DATA
ID : MDRW2100040258
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 식음료

# SPEAKER_INFO
id : 1
age : 40대 이상
occupation : 사무 종사자
sex : 여성
birthplace : 경북
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  가족>부부
intimacy  :  3
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 식사하셨어요??
P1 	: 대강 아점으로 짜파게티요^^
P0 	: ㅎㅎ 저는 불고기에 밥먹었어요 ㅎ
P0 	: 저녁엔 지난번 쏜살치킨 먹으려구요
P0 	: 쉽게 쉽게 ㅎㅎㅎ
P1 	: 쏜살 집에서 해먹어도 맛있어요
P1 	: 도서관갔다 스벅들려서 음료먹고있어요
P0 	: 지금 하고있는데 약간 매콤하네요
P0 	: 애들 줄랬는데 ㅜㅠ
P0 	: 도서관 스벅 코스로 좋네요 ㅎ
P1 	: 안매운것도 살짝 맵긴하더라구요
P0 	: 네 그래서 지금 고민이네요
P0 	: 다시 다른반찬을 해줘야할지 ㅋ
P1 	: 라면 먹음 먹을텐데...울딸램은 맵다하면서 먹거든요
P0 	: 아직 라면은 짜파게티만 ㅋ
P0 	: 둘째는 껍데기 다 짤라내고 주니 먹네요
P0 	: 약간 맵다면서 무우랑 같이 잘먹네요 ㅎ
P1 	: 다행이네요. 전 아직도 2봉지나 남았어요
P0 	: 와 많으시네요 ㅎ
P0 	: 하나씩 언능 냉파를 ㅎ
P1 	: 오늘 냉장고좀 비워야겠어요
P1 	: 지금 누룽지끌여서 김치만해서 대강 아침먹으려구요
P0 	: 저도 어제 냉파 좀 했어요 ㅎ
P0 	: 치킨 비우고 베라도 파인트 쬐메 남은거
P0 	: 처리하고
P0 	: 불고기도 처리하고 ㅎㅎ
P1 	: ㅎ 냉파 많이 하셨네요
P1 	: 막둥이만 누룽지주고 전 미역국먹었어요
P0 	: 네 냉파하니 공간이 생기니 마음의 여유도 ㅋ
P0 	: 저는 아침에 국종류 처리요 ㅋ
