# FILE DATA
ID : MDRW2100005137
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 일과 직업

# SPEAKER_INFO
id : 1
age : 20대
occupation : 서비스 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 서울
device : 스마트폰
keyboard : 나랏글

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 전북
current_residence : 전북
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 요즘 취업하기가 너무 어렵네요 ㅠ
P1 	: ㅠㅠㅠ 취준생이신가요?
P0 	: 저말고 남자친구가 취준생이에요 ㅠ
P1 	: 아...! 남자친구분이 힘드시겠어요
P1 	: 걱정되시겠네요
P0 	: 남자친구도 힘들겠지만 옆에서 보는 저도 걱정되는걸 넘어서 한심하게 느껴져요 ㅠ
P1 	: 엇..! 남자친구가 잘 준비 못하고 있는 건가요??
P0 	: 본인도 취업 못해서 스트레스 받는다고 하면서 취업을 하려는 노력을 안하는거같아요
P0 	: 게임만 하고 이력서는 쓰지도 않구요
P1 	: 아닛 ㅋㅋㅋ 좀 게으르시군요 ㅋㅋ
P1 	: 게임하면서도 마냥 즐기진 못하겠어요 미루면서 하면 스트레슨데 ㅠㅠㅋㅋ
P0 	: ㅋㅋㅋㅋ옆에서 보면 세상 즐겁게 하는것 같아요
P1 	: 앜ㅋㅋㅋㅋ
P1 	: &name1&님은 직장인이신가요?
P0 	: 네 저는 직장인이에요 ㅋㅋ&name2&님은요?
P1 	: 전 아직 대학생이에요 ㅎㅎ 3학년!
P1 	: 저도 대학 졸업하면 취준해야하는데 걱정이네요 ㄷㄷ
P0 	: 아  그래도 대학교 3학년이시면 아직 젊잖아요!!
P1 	: ㅎㅎㅎ 맞아요 그런데 학과랑 취업희망분야가 달라서 걱정이에요
P0 	: 어느직종에서 일하고 싶으세요 ㅋㅋ
P1 	: 저는 시각디자인쪽으로 가고 싶어요!
P1 	: 근데 학과는 영상쪽이고... 완전 독학을 해야하는 상태예요 ㅠㅠ
P0 	: 막막하시겠네요 ㅠ 힘내세요
P1 	: &name1&님은 어느 분야에서 일하시나요?
P0 	: 저는 병원에서 근무중이에요 ㅋㅋ
P1 	: 헉 병원이면 요즘 많이 바쁘시지않나요??
P0 	: ㅋㅋㅋㄱ저는 피부과라서 괜찮습니다
P1 	: 아~ 그렇군요
P1 	: 피부과이시면 피부관리법에 대해 잘 아시겠군요!?
P0 	: ㅋㅋㅋ궁금한거있으신가요??
P1 	: ㅎㅎ 기본적이지만 필수적으로 해야하는 피부관리 법이 궁금해요
P1 	: 그냥 밤에 비누로 세안하고 로션바르기, 외출시 선크림 바르는 것만으로도 괜찮은건지...!
P0 	: 비누보다는 폼클렌져나 낫지않을까요? ㅋㅋㅋ 선크림만발라도 피부관리의 반은 먹고 들어간대요
P1 	: 아~ 실은 선크림은 전혀 안바르는데 신경 써야겠어요
P1 	: 얼굴에 뭘 바르질않아서 비누만으로도 괜찮다고 생각했는데 아닌가요?
P0 	: 비누성분이 피부각질층을 파괴해서 건조함을 유발한다구하더라구요 ㅋㅋ
P1 	: 헉 그럼세수할 때는 무조건 비누는 피해야겠네요
P1 	: 피부과에서 일하면 어떤 점이 힘드신가요?
P0 	: 진상손님도 가끔 있고 피부과라기보단 원장님이 갑질이 좀 심해서 스트레스에요 ㅎㅎ
P1 	: 헉 역시 어떤 일이든 사람때문에 힘드네요...
P1 	: 제 주변에도 병원에서 일하는 친구가 있는데 진상손님때문에 스트레스 받는다더라고요
P0 	: 진상 손님들은 일하는 직원들을 자기보다 밑으로 보는 경향이 있는거 같아요 ㅠ
