# FILE DATA
ID : MDRW2100031336
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 여행

# SPEAKER_INFO
id : 1
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 안녕하세요? 여행 좋아하세요
P1 	: 안녕하세요
P1 	: 여행을 좋아해요! 자주는 못가는게 아쉽지만요
P1 	: &name1&님도 여행을 좋아하시나요?
P0 	: 그쵸 지금같은땐 더욱 그렇죠
P0 	: 네 저도 여행은 좋아해요 국내에선 어디가 좋으셨어요?
P1 	: 국내에서는 부산 여행이 제일 기억에 남아요
P0 	: 와 부산 좋죠
P0 	: 저도 두번 가봤는데 두번 다 좋았어요
P1 	: 12월쯤에 가서 불빛 가득한 축제를 본적이 있었는데
P1 	: 좋았어요
P0 	: 오 축제때 맞춰 가셨네요
P1 	: &name1&님은 어디 여행이 가장 좋으셨나요?
P1 	: 떨결에 맞춰갔어요 ㅋㅋ
P0 	: 저는 통영도 좋았고요
P0 	: 오대산도 좋았어요
P0 	: 최근엔 원주 뮤지엄산 다녀왔는데 진짜 건물이 예쁘더라고요
P1 	: 여행을 많이 다니시는군요!
P1 	: 뮤지엄산?은 처음들어봐요!
P0 	: 예쁜 건물이에요
P0 	: 종이 박물관 등이 안에 있고 얼마전 마인 이라는 드라마에도 나왔었다고하더라고요
P1 	: 아 그 드라마에 나왔었군요
P1 	: 미술관이 참 예쁘다고 생각했는데 같은 곳이었구나
P0 	: 네 누구나 찍는 그 입구에는 줄이 서있어요 사진찍으려고요 ㅎㅎ
P1 	: ㅋㅋ 어떻게 알고 찾아가셨나요?
P0 	: 지인 추천이요 골프장이 근처라 라운딩 갔다가 추천해주셨어요
P1 	: 와 골프치시는구나
P0 	: 저는 아니고 지인만요 ㅋㅋ
