# FILE DATA
ID : MDRW2100024971
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210831
topic : 미용과 건강

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 충북
current_residence : 서울
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 광주
principal_residence : 광주
current_residence : 광주
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 혹시 운동 하시는거 있나요?
P1 	: 저 필테해요! 저질체력이라 진짜 기본적인것도 못하지만...
P0 	: 우와!!! 배우시는 건가요 수업?
P1 	: 네!!! 근데 거의 안가요 일주일에 한번?
P1 	: 넘 즈질 체력...
P0 	: 아하! 전 그런거 아예 불가능이라 하는 분들 보면 신기해요 ㅋㅋㅋ
P0 	: 기구에 몸 끼우고 막 몸 움직이고 그런거..
P1 	: 오 맞아요
P1 	: 저도 그런거...못해요
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 제가 막 죽겠다고 그래서 선생님이 못시킴
P0 	: ㅋㅋㅋㅋㅋㅋㅋ 아 전 필라테스는 그런거 다 하는줄 알았는데
P0 	: 그건 아닌가봐요 ㅋㅋ
P1 	: ㅋㅋㅋ하긴하는데 ㅋㅋㅋ 그것도 좀 따라줘야 할 수 있을듯오
P1 	: 저는 ... 증말 저질체력이라ㅠ
P1 	: 오늘 운동 가는날이에요
P1 	: 가기싫음..
P0 	: 필테도 여러 단계가 있나봐요 ㅎㅎ 그람 보통 무슨 자세 같은거 하시나요
P1 	: 자세...랄것도 없는ㅠ
P1 	: 저 거의 스트레칭도 힘들어해요ㅠㅜ흡
P1 	: 근력따위 없ㅇ습니다
P0 	: ㅋㅋㅋㅋㅋㅋㅋ 단호하시네요
P0 	: 저도 근육 없어요.. 인바디 찍기도 전에 그 담당자분이
P0 	: 근육이 없는 몸이시네요 팩폭하더라고요 ㅋㅋㅋㅋ
P1 	: ㅋㅋㅋ근육 만드는건 어려운거같아요
P1 	: 전 지방덩어리입니다
P1 	: 그냥 근력이없는게 아니라 문제
P0 	: 저도 마찬가지예요 ㅋㅋㅋ
P0 	: 코로나이후로 더 게을러져서 그만 ㅠ
P1 	: 맞아요 진짜 집에있는 시간이 늘어나니까
P1 	: 더 찌는거같아요
P0 	: 그쵸 ㅋㅋㅋ 외출도 막 한꺼번에 몰아서 하니까..
P0 	: 겨울에 더 찌기전에 운동 좀 해야겠어요 ㅎㅎ
P1 	: 진짜 그게 맞네요 ㅜ
P1 	: 겨울....패딩 안맞을까봐 걱정이네요
P1 	: 빼긴빼야겠어요
P0 	: 저는 가을옷이 걱정이에요 ㅋㅋㅋ 팔 부분이 찡겨서 ㅋㅋㅋ
