# FILE DATA
ID : MDRW2100044174
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 기술직 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 뭐 진짜?
P1 	: 그게 뭐야 괴담이야?
P0 	: 아니 아니냐고 믇는거였어
P0 	: ㅋㅋㄱㄱㄱㄱㄱㄱㄱㅋㄱㄱㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 난 또 유니콘처럼
P1 	: 전설의 무지개 마카로니가 있는데
P1 	: 그걸 먹으면 죽는다는 괴담인 줄
P1 	: 알았어
P0 	: 무슨 세상 독소있을것같아
P0 	: ㅋㄱㅋㄱㄱㄱㅋㄱㄱㅣㅣㄱㄱ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그니까
P1 	: 아 생각났다
P1 	: 내가 먹은 거 라면볶이가 아니라 스파게티면이었어
P0 	: 그치
P0 	: 스파게티면도 싼티나는 스파게티맛이라
P0 	: 좋아해
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 그래서 케찹맛으로 기억하고 있었납하
P1 	: 나봐
P1 	: 라면볶이도 먹은 기억 있다
P1 	: 맞아 매콤한 고추장맛이었어
P0 	: 그건 가격이 안비싸서 좋아
P0 	: 치즈볶이랑 라볶이 섞으면 만있다
P1 	: 헉 그렇게는 안 먹어봤는데
P1 	: 안 느끼해?
P0 	: 응 약간매콤해서
P0 	: 괜찮아
P0 	: 싼맛이 먹고싶을때
P0 	: 자주먹어
P1 	: 까르보불닭이랑은 또 달라?
P0 	: 응 진짜 싼맛
P1 	: ㅌㅋㅋㅌㅋㅋㅋㅋㅋ싼 맛이래
P1 	: 궁금하다
