# FILE DATA
ID : MDRW2100024308
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210831
topic : 콘텐츠>도서, 잡지

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 광주
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  4
contact_frequency  :  주 1회 미만

P0 	: 근데 웹소가 본인이 집어먹는거 아니면
P0 	: 막 추천하기 어려운게
P1 	: 응ㅇ응응
P0 	: 보통? 엄청 짧은 이야기가 아니면
P0 	: 100화가 넘어야
P0 	: 캐릭터 소개가 끝나거든ㅠ
P1 	: 흐으..ㅠ.ㅠ.ㅠ.ㅠ.ㅠㅠ.ㅠ.ㅠㅠ.맞아....
P0 	: 등장인물 적을수록 이게 짧아지는데
P0 	: 근데 스급은 유난히 많은 편이니까...
P1 	: 그래도 문장이 가독성이 좋은 편이라 후루룩 읽히긴 하는데..ㅋ.ㅋ..ㅋ.ㅋㅋ
P1 	: 나는 사실 분량보다도 뭐랄까...그 많은 분량을 한번에  결제해야한다는것이 좀 부담스럿(ㅋ ㅋ ㅋ ㅋ
P1 	: 그리고 지금도 계속 그 연재분량이 늘어나고있고...저는두려워요작가님(ㅋ ㅋㅋ ㅋ ㅋ
P0 	: 맞아맞아....
P0 	: 그래서 완결 기다렸다 읽는 사람두 많잖아
P0 	: 근데 내스급은....모르겟어 완결기다리라고도 못하겠음ㅋㅋㅋ
P1 	: ㅁㅈ... 뭔가 내가 이렇게 열심히 읽고 있는 순간에도 꾸준히 한 화 한 화 늘어나고 있다는 생각이 들면 벅차달까
P1 	: ㅋ
P1 	: 오타쿠의마지막양심
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
P0 	: ㅋㅋㅋㅋㅋ음...지금 읽는게 나을걸요?
P1 	: ㅠ
P0 	: 그냥 단행본으로 보세요...
P0 	: 함
P0 	: ㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ.................................................................
P1 	: 내앞에벽이있네
P0 	: ㅋㅋㅋㅋㅋ
P1 	: 아주단단한벽이네(급기야발언
P0 	: 그치만 단행본 나오는 텀이
P0 	: 더 널널하니까
P0 	: ....
P1 	: 웃어야할지울어야할지.....
P0 	: 14권 그렇게 빨리 볼수 없는. 길이....
P0 	: 아니 18권...
P1 	: 근데...사실 단행본 그렇게 많이 나왔을줄은 몰랏어 그래도 문제네
P1 	: 18권 전부...공간의 한계로 집에 놔두기 어렵기에
P0 	: ㅋㅋㅋㅋㅋㅋㅋ아놔 이북밖에 없읍니다
P0 	: ^^
P0 	: 리디에서 사세요^^
P1 	: 사실 전자책이 더 싸기도 할거고... 이북으로사야겠다 아 응ㅇ응응
P1 	: ㅋㅋ ㅋ ㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅠ (울기시작
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 꺄르륵..
P1 	: ㅋ ㅋ ㅋㅋ ㅋㅋ ㅋ.ㅋ..ㅋ.ㅋ.ㅋㅋ ㅋㅋ ㅋ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 작가님두 참...이북으로 환경생각하시는걸까
P1 	: 갑자기 깨달음 얻음 웹소는 300화 나오기 전에 잡기 시작해야한다 늦었다고 생각했을땐 정말 늦었다
P1 	: ㅎㅎ...
P0 	: 하지만 종이책이 낫다는 이야기두 나오던데~~
P0 	: 호호
P1 	: 엇 그래....? 검수되어있어서 그런가
P0 	: 례...
