# FILE DATA
ID : MDRW2100018371
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210827
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 나랏글

id : 2
age : 20대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P0 	: 내일 뭐먹지
P1 	: 맛있는거 먹어
P1 	: 라면 어때
P1 	: 요새 못 먹어서
P1 	: 땡겨
P0 	: 라면 좋지
P1 	: 아니면 라멘으로 먹어줘
P1 	: 아니 일본식 라면
P1 	: 바른말 써야지
P1 	: 지금 못 먹어서 꽂힌거 같아
P0 	: 라멘도 좋지만 라멘은 자주 먹고싶진 않음
P0 	: 반년에 한번쯤이 딱 좋은듯
P1 	: 라면 취향은 어때
P1 	: 나는 설익어도 좋고 푹 익어도 좋고 적당히 익은 것도 좋고
P0 	: 난 꼬들한 게 좋아
P0 	: 계란은 풀어서 끓이니
P1 	: 제일 좋아하는건 라면이 잘 익었을 때 계란 풀어먹는게 좋아
P1 	: 다들 싫어하던데ㅋㅋㅋ나는 국물까지 한 입거리 할 수 있어서 좋아해
P1 	: 왜냐면 국물만 있으면 나트륨 생각한다고 안 먹거든
P1 	: 근데 계란이 풀렸잖아?
P1 	: 이건 먹어야지
P0 	: 난 계란 풀고 계란 하나 더 넣어서 반숙하는 거 좋아함
P0 	: 왜 하나만 넣죠? 두개 넣으면 되는데 ㅎㅎ
P1 	: 그게 아니어도 계란푼게 취향인데 누가 물어보면 이렇게 말하고 있음
P1 	: 반숙 좋지
P1 	: 계란은 한끼에 2개반이 적정이야
P1 	: 그래서 나는 3개 먹음
P0 	: 라면얘기하니까 라면먹고싶잖아
P0 	: 이 밤중에
P1 	: 완숙보단 반숙
P1 	: 반숙보단 완반숙이지
P1 	: ㅎㅎ먹자 라면
P0 	: 내일 아침은 샐러드임
P1 	: 나 대신 파송송 계란탁 해줘
P1 	: 계란은 탁탁으로 부~탁~해요
P0 	: 양배추랑 적양배추랑 또 뭐들어갔지
P1 	: 양배추도 좋지
P1 	: 식이섬유 풍부하고
P0 	: 발사믹 소스 뿌려서 먹음
P1 	: 소스까지 뿌린다면 라면 반찬에 딱이야
P1 	: 아주 딱이야
P1 	: 별이 다스엇개!
P0 	: ㅋㅋㅋㅋㅋ 라면얘기 왜 계속하냐고
P1 	: 내가 꽂혀서 그래ㅋㅋㅋ
P1 	: 주말에 컵누들 먹어야겠다
P0 	: 라면 맛있겠다
P0 	: 컵누들 나도 좋아해
P1 	: 컵누들에 닭가슴살은 사랑이야
P0 	: 컵누들 매운맛 좋아
P1 	: 괜히 국물까지 다 먹음
P0 	: 그거 큰컵으로 있으면 좋겠다고 생각함
P1 	: 나도 매운 맛 좋아
P1 	: 큰 컵...나는 글쎄
P0 	: 컵누들에 닭가슴살 이분 맛잘알이네
P1 	: 육개장 큰컵이 별로이듯
P1 	: 컵누들도...
P0 	: 그건 또 그렇긴 한데
P0 	: 작은컵 감질난다고
P1 	: 나는 그래서 컵누들 2개 먹어
P1 	: 근데 양심상 한개만 먹어...
P1 	: 슬퍼
P0 	: 엌 이건 예상 못함
P1 	: 비빔면이 2개가 적정이듯
P1 	: 컵누들도 2개
P1 	: 칼로리가 120인데
P0 	: 컵누들 하나랑 김밥 한줄 먹으면 딱 한끼던데
P1 	: 2개 먹어야 라면값이잖아
P1 	: 그럼 2개가 적정이지
P1 	: 김밥 한줄이면 컵누들은 하나지ㅋㅋㅋ
P1 	: 근데 2개도 노력해볼만하다
P1 	: 화이팅
P0 	: 김밥 먹으면서 컵누들 국물까지
P0 	: 완벽함
P0 	: 김밥 먹으면서 국물 아쉬울 때 많지 않나
P0 	: 난 그럼
P1 	: 국물 아쉽지 나트륨 아니었으면 절대 포기못해
P1 	: 점심 반찬 뭐 나올지 모르겠지만 기대된다
P1 	: 하루 한끼 한끼가 소중해
