# FILE DATA
ID : MDRW2100037717
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 쇼핑과 상품

# SPEAKER_INFO
id : 1
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 인천
principal_residence : 서울
current_residence : 인천
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  가족>형제자매
intimacy  :  4
contact_frequency  :  주 1~2회

P1 	: 추석보너스 타면 아이패드를 사겠다
P1 	: 근데 종류 넘 다양한거
P1 	: 미니 프로 에어 그냥
P0 	: ㅋㅋㅋㅋ
P0 	: 용량도 골라야하고 색상도 골라야 하고
P0 	: 어렵다구
P1 	: 응 아주 스무고개도 아니고
P1 	: 언니는 아이패드프로?
P1 	: 128GB
P0 	: 어 쇼핑몰에서도 완전 하나 고르면 그다음꺼 뜨면서 이건 뭘로 하실랴요 그런다고
P1 	: 실버?
P0 	: 난 프로 12.9 256 실버
P1 	: 아하
P1 	: 거기에 애플펜슬 추가
P1 	: 만족하시쥬?
P0 	: 네 좋아유
P0 	: 전 액정필름은 안함
P0 	: 케이스도 그냥 자석형이고
P1 	: 구매만족도가 높으시니까
P1 	: 케이스는 별도구매?
P0 	: 근데 사실 뭘사도 빠르게 만족함
P0 	: ㅇㅇ
P1 	: ㅎㅎㅎ
P1 	: 스마트워치는 필요없슈?
P1 	: 내년 생일선물로 사드릴까?
P1 	: 싫음말구
P0 	: ㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋ사주시면 받죠
P0 	: 함 보겠습니다
P1 	: 자전거 그 부착하는 건 안쓰슈?
P0 	: 아직 항체형성 전이라
P0 	: 심장을 위해 보류중
P1 	: 아니 무슨 핑계람
P1 	: 9일 지났잖수
P1 	: 에어팟은 충전 문제였어
P1 	: 어제 풀충전 했더니
P1 	: 출근길에 잘 작동중!
