# FILE DATA
ID : MDRW2100040940
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 저는 쭈꾸미 땡겨요 ㅠㅠ
P0 	: 우왓 쭈꾸미 너무 맛있죠
P0 	: 가을에 더 많이 먹는 음식 맞나요?!
P1 	: 잘모르겠어요!!그냥 쭈삼겹먹구싶어서 ㅋㅋㅋ
P0 	: 쭈삼겹에 들어가는 삼겹살은
P0 	: 대패삼겹살인가요?
P1 	: 맞아요!!!
P0 	: 오오 역시!!!
P0 	: 좀 얇은 삼겹살이어야
P0 	: 자그마한 쭈꾸미랑 잘 어울리겠어요 ㅎㅎ
P1 	: 맞아요 맞아요 맛있더라구요!!
P1 	: 조개에도 잘어울리던뎅
P0 	: &name2&님 정말 드실 줄 아는 분이시군요 ><
P0 	: &name2&님 어떤 햄버거 가장 좋아하세요?
P1 	: 저는 맥날 좋아랍니당
P1 	: 애그 불고기가 외케맛있던지요 ㅠㅠ
P0 	: 우와 저 안먹어봤는데
P0 	: 시도해봐야겠어요!
P0 	: 저는 주로
P0 	: 치킨버거를 먹거든요!
P1 	: 맘스터치 먹겠군요
P0 	: 맘스터치 아주 사랑하죠
P0 	: 저 원래 최애 버거 브랜드가
P0 	: 그...어디지 그... 으아아아 이름이 생각안나요
P0 	: 버거킹!!!
P0 	: 버거킹이었는데 버거킹이 요즘 잘 안보이더라구요ㅠ
P1 	: 아진짜요??
P1 	: 전버거킹잘안가요!
P1 	: ㅋㅋㅋㅋㅋㅋ
P0 	: 앗 입맛에 별로 안맞으시나요?!
P0 	: 버거킹이 별로 입맛에 안맞으시나요?!
