# FILE DATA
ID : MDRW2100013597
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210825
topic : 반려동물

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 가정 주부
sex : 여성
birthplace : 부산
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  (거의) 매일 연락한다.

P0 	: &name3&이 피부가 잘 안나아서 신경쓰여죽겠다
P1 	: 우짜노
P1 	: 아직도그렇나
P0 	: 응 ㅠㅠ 토요일에 동물병원 예약해놨는데
P0 	: 당분간 계속 주말마다 가야할 듯
P1 	: 아이고마 고생이네
P1 	: 원인을찾아야할텐데
P0 	: 약먹이는게 제일 힘들다
P0 	: 엉 원인도 없대 ㅠ 병원비도 너무 비쌈
P1 	: 송냥이들 ㅜㅜ
P1 	: 빨리 보험처리되야한다
P1 	: 동반짐승10만시대에
P0 	: 차라리 동물들도 세금내고 보험됐음 좋겠음
P1 	: 동반짐승인가
P1 	: 반려짐승??
P1 	: 아그뭐지
P0 	: 반려동물
P1 	: ㅋㅋ
P0 	: ㅋㅋ
P1 	: 아
P1 	: ...
P1 	: 그래 반려동물
P1 	: 내가안키우니
P1 	: 헷갈리네
P0 	: 어떤 나라는 반려동물 크기에 따라 세금내고
P0 	: 유기견센터도 나라에서 관리한다더라
P0 	: 그래서 거의 안락사도 없대 세금을 냈기때문에 하나의 인격으로 인정되서 ㅋㅋ
P1 	: 그래맞어
P1 	: 동물도 이제 가족인데
P1 	: 법이개정되어야하는대
P1 	: 나랏님들이 힘내주셔야할텐데
P0 	: 그러게 국민들 인식도 많이 바껴야함 ㅠㅠ
P1 	: 맞어..그나저나 어서 &name3&이가 나아야할텐데
P0 	: 응 좀더 신경써서 케어해줘야지 ㅠㅠ
