# FILE DATA
ID : MDRW2100042278
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210906
topic : 여행

# SPEAKER_INFO
id : 1
age : 10대
occupation : 학생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  주 3회 이상

P1 	: 도착한 날
P1 	: 안압지인가 거기 구경할까
P1 	: 동궁과 월지 거기
P1 	: 야경보자
P0 	: 안압지는 많이들어봤는데
P0 	: 동궁 월지는 뭐야?
P0 	: 아아아아ㅏ
P0 	: 저기 야경
P1 	: 응응
P0 	: 사진으로 ㄱ ㅐ많이봄ㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 하고 황리단길 가고
P1 	: 하 벌써 설렌다
P0 	: 황리단길은 뭐야
P0 	: 에어비앤비에도 막 다 황리단길에서 몇분 이러던데
P1 	: 약간
P1 	: 무슨느낌이라 해야하지
P1 	: 서면 느낌인데
P1 	: 가게들이 다 한옥?
P1 	: 이라고 보면 돼
P0 	: ㅇㅎㅇㅎ
P1 	: 가서 너 한복 입으래?
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㄴㄴㄴㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 난 안입을껀데
P0 	: 근데 동궁과월지 리뷰보는데
P0 	: 9월6일 리뷰로 누가
P1 	: 응응
P0 	: 밤에 사람 엄청많대
P1 	: 아..
