# FILE DATA
ID : MDRW2100027864
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 10대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  5
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 수업 시간에 마이크로 의견 묻는 교수님이 싫다.
P1 	: 싫은 교수님 무더기
P0 	: ㄹㅇ
P0 	: 자율로 시켜도 싫고 선택해서 시켜도 싫다
P1 	: 진짜싫다
P1 	: 방금 후자인 교수님 수업 듣고 옴
P0 	: 심지어 이런 교수님들
P0 	: 꼭 수업 끝나갈 때 물어봄
P0 	: whyrano
P1 	: 우린 하루종일 물어봄(;
P1 	: 아 얼마전에 충격적인 교수님 봄
P1 	: 본 건 아니고 내 얘기긴 한데
P0 	: 웃겨
P0 	: 내가 봄
P1 	: 수업참여도 점수를
P1 	: ㄹㅇ 내가봄
P1 	: 채팅으로 얼마나 열심히 반응하는지를 기준으로 부여한대
P0 	: 아
P0 	: 진짜 싫다
P1 	: 채팅하면 +0.5점
P1 	: 음성대답은 +1.0점이라는
P0 	: 나같으면 드랍했다
P1 	: ㅠㅜㅠㅜㅠㅜㅠㅠ근데 진짜 듣고 싶던 수업이라
P1 	: 하......
P0 	: 존버하면 교수가 바뀌는 경우가
P1 	: 없죠
P0 	: 있지 않을까 우리는 그렇던데
P1 	: 보통은 없음
P0 	: 저런
P0 	: 그럼 난 걍 안 들음
P1 	: 타과 타캠 수업인데 첫날부터 채팅창이 뜨겁길래
P0 	: 아니 심지어 타과 타캠 수업이냐고
P1 	: 내가 모르는 이 캠만의 분위긴가 싶었는데
P1 	: ㅇㅇ;
P1 	: 그런 비하인드가 있었던 거임
P0 	: 끔찍하다...
P0 	: 고생이 많으시네
P1 	: 하... 가보자고...
