# FILE DATA
ID : MDRW2100032687
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210905
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 부산
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 그쵸그쵸 그런거같아요
P1 	: &name1&님은 연애하시는 이유가 최종적으로 결혼이신가요?
P0 	: 음 네네 저는 결혼목표로 연애해요
P0 	: &name2&님은요?
P1 	: 전 길을 잃었네요 ㅋㅋㅋ
P1 	: 결혼은 하고싶은 생각없고
P1 	: 요즘은 연애도 별로
P0 	: 음 이것도 시기도 좀 타고 사람 성향도 타는 것 같은데
P0 	: 저는 항상 연애는 유지됐던거 같아요 최근엔 좀 덜하지만
P1 	: 시기를 많이타는듯해요
P0 	: 예전엔 약간 의존적인 성향이 좀 있고 해서
P1 	: 뭐... 결혼할 나이에 그냥 그 남자친구랑 결혼하는 친구 많더라구요
P0 	: 항상 의지할 수 있는 내 편이 있었으면 하는 마음에 연애도 하는 것 같고
P1 	: 음
P1 	: 남자친구가있으면 확실히
P1 	: 안정적이죠
P1 	: 의지할때가 있다는거?
P1 	: 근데 헤어지고나면
P1 	: 너무 허무 하지않나요?
P0 	: 저는 허무함 보다는 약간 사이 틀어지거나 오랫동안 마음 정리하고나서 헤어지는 경우가 많았어서
P0 	: 어떤 류의 사람은 피해야지 이러면서 약간 다음 연애 원동력이 됐던거 같아요
P1 	: 마음정리 다 하시고 헤어지는건 나 자신에게는 좋은 일이죠
P0 	: 근데 지금 돌이켜보면 매번 연애 때마다 되게 치열했는데, 어린 마음에 더 그랬던거 같다..싶기도 하고
P0 	: 결혼할 나이되서 옆에 있는 사람이랑 하게된다는건 동의합니다..
P1 	: 치열하게 ㅋㅋㅋㅋㅋ는 어떻게인가요?
P0 	: 음 뭐 별거 아닌걸로 싸워도 사이가 안좋으면 오만 일상생활에 타격 크게주고
P0 	: 뭐 내가 생각하는 방향에 맞게 연애하려고 하고?
P1 	: ㅋㅋ미숙한게 당연한 시기였죠 ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 치열하게가 맞네요
P0 	: 지금은 좀 지나고 나니 영향 받아봐야 나만 손해다- 이러면서 구태의연해지는 법도 슬슬 배우고
P0 	: 쉽짐 않더라구요 성격 때문인건지
P1 	: 그냥 세월이 해결해주지않나요 ㅎㅎㅎ
P0 	: 근데 싸우고 나면 해결 전까지 일도 손에 안잡히고 놀아도 재미없고 밥먹는거도 별로고 막 이랬었어서
P0 	: 세월을 기다리기에 스스러가 지쳐요
