# FILE DATA
ID : MDRW2100006079
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210907
topic : 기타 사회 생활 및 활동>온라인 커뮤니티

# SPEAKER_INFO
id : 1
age : 30대
occupation : 기술직 종사자
sex : 남성
birthplace : 충북
principal_residence : 충북
current_residence : 울산
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 울산
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 개성있다는소리 너무 좋아요!!
P0 	: 네 그냥 대화하는것만으로도 그런 느낌을 주네요
P0 	: 연애관도 생각하는게 엉뚱하고
P0 	: 재밌는 성격일것 같아요
P0 	: 맞나요?
P1 	: 아낰ㅋㅋㅋㅋㅋㅋ
P1 	: 생각하는게 엉뚱하진않고
P1 	: 그냥 못해요 연애를...
P1 	: 재미는있죠...
P1 	: 저도 제 자신이 참 재밌는사람이라고 생각해용
P1 	: 껄껄 ...
P0 	: ㅋㅋㅋ &name2& 학생이신가요?
P1 	: 넹
P1 	: 휴학생입니당
P0 	: 그렇구나
P0 	: 온라인 커뮤니티하세요?
P1 	: 오옹
P1 	: 온라인커뮤니티가...
P1 	: sns같은건가요?!
P1 	: 막
P1 	: 인스타라거나
P1 	: 그런건하는데용
P1 	: !!
P0 	: 음 카페같은거 아닐까요
P0 	: 네이버 밴드나
P1 	: 아앜ㅋㅋㅋㅋ
P1 	: 카페...
P0 	: 인스타아이디 알려주세요
P1 	: 헉 일단 블로그는합니다
P1 	: 카페도... 막 팬카페?
P1 	: 옠ㅋㅋㅋㅋ큐ㅠㅠ
P0 	: 오 블로그도ㅋㅋㄱㅋ
P1 	: 그건 곤란할거같네요ㅠㅠ
P0 	: 넵넵
P1 	: 사진이 냅다 들어이썽서ㅠㅠㅠ
P0 	: ㅋㅋㅋㅋ
P1 	: 껄껄 ..
P1 	: &name1&님은
