# FILE DATA
ID : MDRW2100007608
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 이상형이...어떻게...되시는지...^^
P0 	: 그저..말 잘통하고...정신머리가 똑바로 박혀있는..
P0 	: 그런..사람...
P1 	: 엇 그럼 외모는 안보시나봐요??
P1 	: 어머...!
P0 	: 제 남친 가을 씨 보여드리고싶네요(없지만)
P0 	: 만약 가을씨가 좋다고하면
P0 	: 헤어지게요
P0 	: 안목을 믿고..!
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 말했죠 외모는 예선이라고
P1 	: 아놔 진짜
P1 	: 웹웹님은 외모랑 돈을 잘 안보시나봐요
P0 	: 본다구욧
P0 	: 안본다하면
P1 	: 어머 그렇구나~~~~(안보이는 척)
P0 	: 진짜 외모랑 돈 부족하고 말만 잘통하는 사람 만날까봐
P0 	: 겁난다..!
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 말 잘통할거면 심심이랑 사귀죠..!
P0 	: 결혼관이 뭘까요
P0 	: 결혼 관짝 이런건가
P0 	: 애기 몇..이런건가
P1 	: 근데 저 궁금한 거
	  외모+돈 강동원급 but 인성 문제 있음 vs 돈 외모 없음 but마더테레사
P1 	: 결혼관...이 뭐예요?
P0 	: 강동원.
P1 	: 네?
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 아놔
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 아 쓰읍..
P0 	: 나 외모봤네
P1 	: ㅋㅋㅋㅋㅋㅋ고민 하고 대답하라고요
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 그냥외모만보잖아요
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ아 진짜웃겨ㅠ
P0 	: 돈 없어도 강동원.
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 아 진짜웃겨 아
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 돈은 있다가도 없고 그러지만
P0 	: 강동원의 클라스는 영원해요
P1 	: 외모는 강동원 돈은 통장에 500원이 전부인데 인성도 못됐음 VS 세계 제일가는 부자 마더테레사 하지만 외모가 김제동
P0 	: 강동원
P0 	: ㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 님...외모만 보네요
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 하 깨달았네요
P1 	: 아 진짜 웃기다
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 나..외모만 보는..못된 사람이었구나..
P1 	: '못된'ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 가을님은
P1 	: 네?
P0 	: 강동원 vs 김제동
P1 	: 강동원
P1 	: 님진짜 그냥 조건도 없이 그 둘만 붙여놓으면 누가봐도 강동원이라고요
P0 	: 갑질하고 다니면서 사람들 피해주는 주제에 돈도 없어서 빌리고 다니는 강동원 vs 모든 이의 선망을 받는 마더테레사급 인성 일반인
P1 	: 강동원
P1 	: 돈은 내가 번다
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 갑질은 집에 좀만 가둬놀고...고쳐보자 우리
P0 	: 님..님도 얼굴만 보시네요
P1 	: 내가 돈 벌어서 오은영박사님 섭외할게
P1 	: 그럼여.
P0 	: 멋지다
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 오은영박사님... 저의 인성더럽고돈도없는강동원 좀 고쳐주세요
