# FILE DATA
ID : MDRW2100040489
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210904
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: ㅋㅋㅋㅋㅋ큐ㅠㅠㅠㅠㅠㅠ 죄송합니당..ㅠㅠㅠㅋㅋ
P1 	: 저 연어사케동인가요?
P1 	: 밥위에 연어 올라가있는거 그거 먹었어요!
P0 	: 헐 우와
P0 	: 나가서 드셨군요!!!
P0 	: 맛난거 드셨네요~~~!!!!
P0 	: 그 안에 와사비도 있고 맞죠?!
P1 	: 배달 시켜서 먹었어요ㅋㅋㅋ 와사비 있어요!
P1 	: 덕분에 먹다가 눈물 뺐어요 ㅎㅎ
P1 	: 회 좋아하세요?
P0 	: 그럼요 그럼요!!!
P0 	: 없어서 못먹는데
P1 	: 그럼 초밥은요!
P0 	: 당연히 좋아합니다..ㅠㅠ
P0 	: 오마카세 같은 데 가고싶은데
P0 	: 비싸서 못가죠~~~
P1 	: 꺄아아아 저도 회 초밥 다 좋아요
P1 	: 오마카세는 저는 꿈에서나 갈 수 있을 것 같아요
P1 	: 살아생전엔 불가능할듯요 ㅎ
P0 	: 어떻게 한 번애
P0 	: 이십만원 어치를 먹는지...
P0 	: 그래도 취업하면 갈 수 있지 않을까요ㅠ
P1 	: 저는 오마카세는 그 한끼에 그만큼 써도 그냥 껌 사듯 할 수 있을 때 그때 갈래요
P1 	: ㅠㅠㅠㅠ
P1 	: 로또 맞으면 가야지
P0 	: 맞아요 그리고 그만큼
P0 	: 맛있지도 않을거옝6
P0 	: 거예요 분위기랑 자릿세지...
P1 	: 맞아요
P1 	: 사실 별거 아니죠
P1 	: 그냥 삼겹살 꾸워 먹고 싶다 갑자기 ㅋㅋㅋㅋㅋㅋ
P1 	: 삼겹살 좋아하세요?
P0 	: 네네 좋아해요!!!!
P0 	: 저는 육류는
P0 	: 양고기나
P0 	: 막창 대창 곱창 이런거만 아니면 잘먹어요 ㅎㅎㅎ
P1 	: 저도 고기 좋아요 ㅋㅋㅋㅋ 양고기 드셔보셨어요?
P1 	: 양고기 드셔보셨어요? 전 안먹어봤어요!
