# FILE DATA
ID : MDRW2100007347
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210822
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 20대
occupation : 서비스 종사자
sex : 여성
birthplace : 경북
principal_residence : 경기
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 전문가 및 관련 종사자
sex : 여성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  가족>부부
intimacy  :  5
contact_frequency  :  주 3회 이상

P1 	: 물과 음료 정도요
P1 	: 줌수업이라면!
P1 	: 근데 과자도 가능할 것 같아요
P1 	: 전 최근에 크로플을 먹었는데
P1 	: 입에 넣을 때마다 비디오를 껐거든요
P0 	: 아
P0 	: 저희 어머니도
P0 	: 줌수업을 하시는데
P0 	: 눈만 내놓고
P0 	: 삼겹살 드시더라고여
P1 	: 삼겹살은 좀 심하잖아요 ㅋㅋㅋㅋㅋㅋㅋ ㅠㅠ
P1 	: 하지만 꽤 좋은? 방법이네요
P1 	: 눈만 내놓을 생각을 못했어요
P0 	: 직접 굽는게 아니고
P0 	: 아비부가 구워준걸
P0 	: 먹기만 하면
P0 	: 괜찮지않을까요?
P1 	: 그쵸...
P1 	: 중요한 건 아마
P1 	: 안 걸리는 거?
P0 	: 그쵸
P1 	: 쌈도 싸드셨나요?
P1 	: 수업에서 쌈 싸먹기...
P0 	: 제가 싸서
P0 	: 입에 넣어드렷어요
P0 	: 줌 수업이니까
P0 	: 뭐...
P1 	: 너무 즐거운 학교생활이에요
P0 	: ㅋㅋㅋㅋㅋㅋㅋ
P1 	: 곧 개학이라서
P0 	: ㅋㅋㅋㅋ
P1 	: 월요일은 학교를 가보려고 하거든요
