# FILE DATA
ID : MDRW2100021289
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 콘텐츠>영상/음원 콘텐츠

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 저는 게임을 잘 못하고 해봤자 모바일카트 이정도라
P1 	: 게임유투브는 안봐봤는데 인기가 정말 많은 장르더라구요
P0 	: 저는 게임 플레이 영상보다는
P0 	: 분석 영상을 많이봐요
P1 	: 아하
P0 	: 인기많죠...겜하는사람들이 많아서 그런가봐요
P1 	: 맞아요
P1 	: 그래서 그런지 제가 종종 보던 유투버도 최근에 게임영상 종종 찍더라고요
P1 	: 그 유투버도 게임을 잘하는 편은 아니라서 맨날 시청자들이랑 같이 게임하고 맨날 지는거같아요 ㅋㅋㅋㅋㅋ
P0 	: 앜ㅋㅋㄲㅋ게임은 못하는것도 컨텐츠니까요ㅋㅋㅋ
P0 	: 드라마 클립은어떤거  보셨나요?
P1 	: 맞아요 ㅋㅋㅋㅋㅋ 너무 웃기더라고요 진짜 ㅋㅋ
P1 	: 저 최근에는 블랙독이 유투브에 뜨길래 자주 보고
P1 	: 예능이긴 하지만... 연애의참견도 자주 봐요
P0 	: 연참도 클립으로 보면 참 자극적이죠
P0 	: 그맛에 봐요
P1 	: 맞아요 ㅋㅋㅋㅋㅋㅋㅋ 머 이런 사람이 다 있나 싶은
P1 	: 근데 항상 현실이 드라마보다 더하다잖아요...
P1 	: 정말 잘 보던 연참 배우가 불륜터졌을때 띠용..
P0 	: 헉 누구예요?
P0 	: 첨듣는 이야기예요
P1 	: 그 연참2 인가 나오던 여자배우
P1 	: 사촌네 형부랑 ... 바람나서..
P0 	: 헉.....
P1 	: 하핫...,
P1 	: 최근에 영화 보셨어요?
P0 	: 블랙위도우 봤어요
P0 	: 보셨나요?
P1 	: 보고싶은데 아직 못봤어요ㅠ 재밌나용?
P0 	: 네 저는 오랜만에 너무 잘봤어요
P0 	: 킬링타임용 영화로 최고인거 같아요
P0 	: 배우 좋아하시면 더 좋구요
P1 	: 다음에 기회되면 봐야겠어요
