# FILE DATA
ID : MDRW2100021555
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 콘텐츠>도서, 잡지

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 남성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 안녕하세용
P0 	: 좋아하는 작가 있어요?
P1 	: 안녕하세요!
	  음.. 좋아하는 작가가 따로 있진 않은데
	  텀을 두고 다시 읽는 작품은 있어요 ㅋㅋ
P1 	: 이름이 유명하긴 한데.. 데미안이라고..
P1 	: 학생때 읽어보고 스무살 때 읽어보고 지금 또 읽어보고.. 나중에 또 늙어서도 이 작품은 다시 읽어볼 것 같아요. 뭔가 같은 글인덷ㅎ 느낌이 조금씩 다르더라구요.
P0 	: 요즘 데미안 읽는 사람 진짜 많네요 ㅎㅎ
P0 	: 저는 마이클 샌델 작가 좋아해요!
P1 	: 아 저 그 책 알아요
P1 	: 공정하다는 착각
P1 	: 그 내용 들으면서 진짜 우와 했는데! 좋아하는 작가분이시군요 :)
P0 	: 헐 어떻게 아시지 대박!
P0 	: 네 맞아요~ 그리고 <돈으로 살 수 없는 것들>이라는 책도 쓰셨어요 ㅎㅎ
P1 	: 오! 나중에 검색해봐야겠네요 :) 지인이 진짜 추천하더라구요 ㅋㅋㅋ 그 책은 무슨 내용인가요?
P0 	: 샌델 작가는 내용이 비슷비슷해요 철학적이라서
P0 	: 공정주의 능력주의 이런 측면에서 서술하거든용
P1 	: 오 ! 그렇군요.
	  샌델작가님 내용 들어보면 공정이라는 단어가 진짜 어렵게 느껴지더라구요.
P0 	: 그 분이 교수님인 건 알고 계세용?ㅎㅎ
P1 	: ㅋㅋ 아니요 ㅋㅋ 저 책도 이틀전에 추천받아서 처음 알았어요!
P0 	: 아아 그 분이 하버드대학교 교수님이래요!
P0 	: 근데 하버드대에서 최연소 교수라는 것도 더 놀라웠어요
P1 	: 오 그러면서 책도 내시다니.. 대단하시다..
P0 	: 그쵸? 이 작가가 낸 책 덕분에 우리나라가 공정 열풍 불었잖아요
P0 	: 그래서 정치 쪽에 피바람 분게 아닐까 생각되네요 ㄷㄷ
P1 	: 너무 지엽적인 것만 알고 산 느낌.. 책을 자주 읽으면 좋을텐데 :( 흠 
	  사실 전 그냥 요즘 나온 책 말고 예전 한국문학들을 자주 돌려읽는 편이거든요. 학생부터 특별한 의미 없는 습관인가봐요 ㅋㅋㅋ
P0 	: 자기에게 맞는 책 골라 읽는 것도 중요하죠!
P0 	: 한국문학들은 어떤거 보셨어요?
P1 	: ㅋㅋㅋ 앞부분 내용을 못봤네요 ㅋㅋ
	  저는 임용준비하던 때가 있어가지고 교과서에 나올만한 작품은 다 여러번 본 것 같아요
P1 	: 그 습관이 지금도 남아가지고 자꾸 ㅋㅋㅋ 자꾸 읽죠.. 요새는 백석 시인 작품 많이 읽고 있어요
P0 	: 오 ㅎㅎ 대단하네요 정말...
