# FILE DATA
ID : MDRW2100018274
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210826
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 울산
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 기타
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 배달음식 좋아하세요?
P1 	: 앗 배달은 잘 안 시켜먹어요 엄마가 음식을 잘 하셔서...
P1 	: 아니면 포장!!
P0 	: 어머니께서 요리를 잘하시는구나
P0 	: 어머니께서 뭘 제일 잘하세요?
P1 	: 진짜 다 잘하시는데
P1 	: 김치찌개요 ㅋㅋㅋ
P1 	: 제가 좋아해서 그런가...
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ부럽네요
P0 	: 김치찌개에 보통 돼지고기인가요 참치인가요?
P1 	: 전 참치파요
P1 	: 존맛
P1 	: 참치>>꽁치>>돼지
P0 	: 전 돼지>>참치>>꽁치예요 ㅋㅋㅋㅋ
P1 	: 오 ㅋㅋㅋㅋㅋ
P1 	: 사실 셋다 맛있죠
P1 	: 돼지도 고기가 야들야들하먄존맛탱
P0 	: 맞아요 사실 김치찌개면 다맛잇어요 ㅋㅋㅋㅋ
P1 	: 맞아요 저 김치 진짜 좋아하거든요ㅜㅜ
P1 	: 김치를 만두피처럼 해서 안에 만두소 넣어서
P1 	: 드셔보세요
P1 	: ㄹㅇ개전맛
P0 	: 오오 김치 진짜 좋아하시는구나
P0 	: 김치찜도 즐겨드세요?
P1 	: 찜보단 찌개를 많이 먹는데
P1 	: 둘다 아무래도 다 jmt라..
P1 	: 없어서 못 먹죠,,,
P1 	: &name1&은 또 뭐 좋아하세요?
P0 	: 맞아요 없어서 못먹죠 ㅋㅋㅋㅋ
P0 	: 저도 김치 좋아해서
P0 	: 김치전 ㅋㅋㅋㅋㅋ
P1 	: 헉 ㅠㅠ 맞죠맞죠
P1 	: 전중에 최고는 김치전이죠
P1 	: ㄹㅇ 파전 미는 애들 노이해
P0 	: 파전도 좋아하지만 김치전 못이기죠
P0 	: 김치전 진짜 너무 맛잇음 ㅠㅠ
