# FILE DATA
ID : MDRW2100021914
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 판매/영업 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 단모음

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 제주
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 청귤에이드는 카페서만 먹어봤ㄴㄴ데 맛있었어요
P0 	: 제주도는 해산물이 싼가요?
P1 	: 네 싱싱하기도 하고 저렴한 편이요
P1 	: 전복 오징어 회 등
P0 	: 말만 들어도 침이 고여요
P0 	: 그래서 한달 살이를 다들 하나봐요
P0 	: 거기서 먹을 것 먹고 가볼 곳 가보려면 한 달은 걸리겠어요
P1 	: 근데 의외로 잘 안사먹게되요
P1 	: 안 해먹고
P1 	: 포장된 회 정도 사가지고 와서 먹어요
P0 	: 아 이게 또 한 달 살이가 가서 사는 거다보니
P0 	: 여행간 서타일보다도 좀 생활 사는 느낌도 나고 그렇네요
P0 	: 여행은 3박4일 내내 다 음식점을 찍잖아요
P1 	: 네 저는 그렇게 먹으면 결국은 속이 더부룩해지더라구요
P1 	: 관광객들 많이 다니는 맛집들은 특히나
P1 	: 조미료도 많이쓰고 비싸기도 하고요
P0 	: 맞아요 비싸요 제주도 음식점 값이 다 비싸긴 했어뇨
P0 	: 요
P0 	: 어요
P0 	: 오늘도 제주도 여행을 잘 하구 계신가요?
P0 	: &name2&의 여행얘기를 간단하게라두 가끔 전해주세요
P1 	: 아 오늘 청귤청 만들었어요 유기농 청귤 주문했거든요^^
P0 	: 와 맛있겠어요 어떤 설탕을 쓰셨나요?
P1 	: 비정제설탕넣었는데
P1 	: 다 떨어져서 백설탕으로 할까 생각중이예요
P0 	: 비정제 설탕도 좋아해요 조 비싸지만요
P0 	: 어떤 비정제당을 쓰시나요?
P1 	: 라빠르쉐인가
P1 	: 친구가 줘가지구 좀 있었는데 단맛이 적어요
P0 	: 허거 그거로 청담그신거에요?
P0 	: 그거 좀 비싸서 차에 타먹거나 했어요 저는
P0 	: 고급 청인데요?
P1 	: 청이라곤 태어나서 첨만들어봐서요 ㅎㅎ
P1 	: 비싼거군요
