# FILE DATA
ID : MDRW2100033212
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210906
topic : 여행

# SPEAKER_INFO
id : 1
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 충북
principal_residence : 충북
current_residence : 대전
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 저는 제주도에 갔다 어제 와서 그런지 여독이 아직남네요
P1 	: 오  여름휴가로 가신건가요?
P0 	: 친구들끼리 갔다왔어요
P0 	: 너무 재밌고 좋았어요
P1 	: 오 ㅎㅎ 제주도 안간지 오래됐네요 저는 ㅎ
P0 	: 최근다녀오신곳 있나요?
P1 	: 아니요  코로나 이후로는 아무데도 안갔어요 ㅜ
P0 	: 오~저는 조금씩 다녀왔어요
P0 	: 제주만 두번 다녀왔답니다
P1 	: 저는 제주도 간지도 7년정도 된거같아요 ㅋ
P0 	: 더 좋아져서 새로우실꺼예요
P0 	: 시간내서 한번 다녀오시는걸 추천드려요
P1 	: 저는 코로나 터지기전에 울릉도 독도 갔다왔어요 ㅎ
P0 	: 저는 배멀미때문에 그쪽은 엄두가 안나더라구요
P1 	: 울릉도갈때는 큰 배타고가서 괜찮았는데
P0 	: 독도도 가기 힘들다는데 다녀오셔서 좋으셨겠어요
P1 	: 울릉도에서 독도달때는 힘들었어요 ㅎ
P1 	: 진짜 좋았었어요 ㅎ
P0 	: 울릉도에 비행장 생기면 도전해봐야겠어요^^
P1 	: 맞아요 저 갔을때 공항만든다고 공사하고있었어요 ㅎ
P1 	: 해외는 가보신데 있어요?
P0 	: 저는 언니가 하와이살아서 자주 갔었어요
P1 	: 오    하와이 엄청 좋다던데
P0 	: 너무 좋아요
P0 	: 물가가 비싸서 그렇지 날씨좋구 쇼핑하기도 좋구요
P1 	: 맞아요 날씨가 그렇게 좋다던데 ㅎㅎ
P0 	: 더운데 습하지않아요
P1 	: 바닷가인데 신기하네요 ㅎㅎ
P1 	: 꼭 가보고 싶더라고요 ㅎ
P0 	: 꼭 가보세요 안돌아오고 싶어요^^
P1 	: 진짜 그럴거같아요  신혼여행지로 최고라던데 ㅎ
P0 	: 멀지만 다녀올만하죠
P1 	: 저는 동유럽 가보고 싶어요 헝가리나 체코같은
P0 	: 저도 유럽은 안가봐서 가보고 싶은곳이예요
P1 	: 크리스마스때 동유럽을 가면 엄청 예쁘다고 하더라고요 ㅎ
P0 	: 신혼여행다녀와서 크리스마스에 유럽가시면 좋겠네요^^
P0 	: 경비가 많이들긴하겠네요
