# FILE DATA
ID : MDRW2100020006
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210827
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 경영/관리직
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 나랏글

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 배달 음식 좋아하시나요?!
P0 	: 피자 치킨 같은거 좋아해요 요즘은 배달되는 음식이 많아져서 좋아요?
P0 	: 자주 시켜서 드시나요?
P1 	: 자주는 아니지만
P1 	: 가끔씩 시켜서 먹어요!
P1 	: 저도 피자...치킨... 좋아해요 얼마 전에는 태국 음식 시켜먹었어요!
P1 	: 사실 제가 대학원생이라
P1 	: 외식이 자유롭지 않아서
P1 	: 별미 먹고싶을 땐 배달음식을 시키거든요..ㅜ
P0 	: 요즘은 외식이 힘드니까 배달 많이 시켜요
P0 	: 별미를 먹고싶을때요 ㅎㅎ
P0 	: 태국음식은 똠얌꿍인가요?
P0 	: 그런것도 배달이 되나요?
P1 	: 네네!!
P1 	: 맞아요 정확히 똠양꿍이었어요
P1 	: 네 되더라구요...?! 비닐에 포장되어와서 찝찝하기는 하지만...
P1 	: 아 얼마전에
P1 	: 김밥집 식중독 사건 들으셨어요?
P0 	: 네 들었어요 ㅠㅠ 계란이 문젠거 같다고 하더라고요 ㅜ
P1 	: 정말 ㅠ 피해자분이 너무 안타까워요
P1 	: 김밥 먹고 그렇게 될 줄 누가 알았겠어요...
P0 	: 그러니까요ㅠㅠ
P0 	: 외식이나 배달음식을 안 먹을 순 없지만 자제하고 조심해야겠어요  그래도 이제 추워질거라 다행이기도해요
P0 	: 그럼 주로 해먹는 요리는 무엇인가요..?
P1 	: 저는..... 시간은 좀 오래 걸리지만
P1 	: 애호박을 얇게 썰어서
P1 	: 소금 조금 넣은 계란물에 부쳐먹으면
P1 	: 진짜진짜 맛있어요!!!
P1 	: 그거랑... 면 음식 좋아합니다!!
P0 	: 저는 토마토파스타에 고추장이나 볶음김치를 넣어서 해먹는데
P1 	: 오오오???
P0 	: 색다른 맛이랍니다 ㅋㅋㅋㅋ
P1 	: 파스타면이랑 소스는 따로따로
P1 	: 구매해서 만드시는거죠???
P0 	: 애호박전 좋아하시는구나 ㅎㅎ
P1 	: 네네 애호박전은 진짜 얇게 써는게 관건이에욬ㅋㅋㅋ
P0 	: 네네 그게 훨씬 효율적이라서요 가격면에서도 ㅎㅎ
P1 	: 오오 맞네요 맞네요~!
P1 	: 저도 면 음식 좋아하는데
P1 	: 토마토 파스타에
P1 	: 고추장이랑 볶음김치라니
P1 	: 정말 따라해보고싶네요 ㅎㅎㅎ
P0 	: 시판소스에 방울토마토를 직접 넣어도 맛있어요 
P0 	: 아직 애호박철이니까 주말에 얇게 썰어서 부쳐먹을까봐요.. 막걸리와 함께 ㅎㅎ
