# FILE DATA
ID : MDRW2100039554
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210903
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 대구
principal_residence : 경북
current_residence : 경북
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 대구
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  4
contact_frequency  :  주 3회 이상

P1 	: 저녁머드세용
P0 	: 지금 1차로 떡순튀 먹었고
P0 	: 2차로 집에 가서 전복죽 먹을 예정ㅎㅎㅎ
P1 	: 이욜
P1 	: 지금쯤은 다 드셧겟군여
P1 	: 참고로 저는 찜닭을 먹엇슾다
P1 	: 습니다
P0 	: 예아 호로록 먹었쥬ㅎㅎ
P0 	: 찜닭 is 뭔들이지만 간장인가요 고추장인가요 아님 다른거?
P1 	: 간장이엇습니당
P1 	: 킹콩찜닭에서 시켜먹엇답니당
P0 	: 역시 찜닭은 간장이쥬!! 킹콩찜닭 맛있나유?
P1 	: 갠찬습니다 요동네에선 젤루 갠찬게 하는거같군용
P1 	: &name1&누님두 함 드셔보십셔
P0 	: 오오 담에 꼭 시켜볼게유!! 찜닭 먹을때 전 당면이 제일 맛있더라구요ㅎㅅㅎ
P1 	: 조아용 당면 마싯죵
P1 	: 그런의미에서
P1 	: &name1&누님은 납작당면 둥근당면
P1 	: 어떤게조으신가여
P0 	: 둘 다 각자의 매력이 있어서 다 좋아해유 가족들은 둥근걸 선호해서 찜닭 먹을땐 둥근당면으로 시켜유
P1 	: 그렇군용
P1 	: 저는 둥근당면이 더 좋아용
P1 	: 근데 둥근당면은 얇아서그런가
P1 	: 불어서오면 슬퍼져요
P0 	: 하...저두요...당면추가 했을때 국물 적어짐+불어서 옴 이 콤보는 참을 수가 없어유..
P1 	: ㅠㅠㅜ그래서 멀리서시키면이제...
P1 	: 아쉬워도 납작당면을...
P1 	: 가서먹으면 둥근당면을...
P1 	: 근데 요샌 납작당면하는데가 더 만은거같아영
P0 	: 맞아유 대부분 넙적이더라구여
P0 	: 그래서 둥근당면으로 바꿀 수 있으면 바꿔서 주문합니다ㅎㅅㅎ
