# FILE DATA
ID : MDRW2100003611
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 공연 및 관람>스포츠 경기 및 관람

# SPEAKER_INFO
id : 1
age : 40대 이상
occupation : 사무 종사자
sex : 여성
birthplace : 경북
principal_residence : 대구
current_residence : 대구
device : 스마트폰
keyboard : 천지인

id : 2
age : 40대 이상
occupation : 가정 주부
sex : 여성
birthplace : 경북
principal_residence : 울산
current_residence : 광주
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 도쿄 올림픽보셨나요?
P1 	: 몇종목만 어쩌다 봤어요.
P1 	: 에구~!여길 한동안 안 들여다보고 이제 봤더니 많이 늦었네요.ㅠㅠ
P0 	: ㅎㅎ 괜찮아요
P0 	: 양궁 보셨어요?
P1 	: 아니요~그건 뒤늦게 뉴스로 봤어요.
P1 	: 배구는 열심히 봤는디..
P0 	: 아 저는 배구는 보다가 껐어요
P0 	: 너무 답답했어요
P1 	: 그랬어요?^^
P0 	: 체력적으로 브라진 선수들이 남자선수같아보일정도더라구요
P0 	: 심판도 편파심파같고 ㅜㅠ
P1 	: 외국선수들이 좀 그렇게보이긴 해요.
P0 	: 글쵸 너무 마음아파서 ㅜㅠ
P0 	: 김연경이 좀 안쓰러워지더라구요
P0 	: 갓 연경쓰
P1 	: ㅋㅋ
P1 	: 어디든 리더가 중요하지만 스포츠경기에서는 특히 더 그런듯해요
P0 	: 맞아요
P0 	: 양궁은 진짜 조마조마하면서봤어요 ㅎ
P0 	: 심박수도 나오던데 이게 다른나라선수는 130이런데
P0 	: 우리나러만 60 80 이렇더라구요
P0 	: 와 진짜 강심장들이였어요
P1 	: ㅎㅎ
P1 	: 양궁은  역시 우리나라선수가 짱이죠~
P0 	: 글쵸
P0 	: 안산 선수 어린데도 너무 침착하게
P0 	: 머찌더라구요
P1 	: 나도 멋지게  살고 싶네요.ㅎㅎ
