# FILE DATA
ID : MDRW2100035881
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210830
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 충남
principal_residence : 충남
current_residence : 충남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 저는 주로
P0 	: 치즈랑
P0 	: 라면사리 추가해용!
P1 	: 거기 감튀 진짜 맛있거든요 하...네네!
P1 	: 아 헐 진짜요?
P1 	: 저는 그 다른건 추가 안하고 가끔...치킨?
P1 	: 순살치킨 추가해요!ㅋㅋㅋㅋㅋㅋ
P0 	: 맞아요ㅠㅠ 따로 냉동된 대용량 사고싶어요ㅋㅋㅋㅋ
P0 	: 아 너무 맛잘알이시다ㅠㅠ
P0 	: 순살치킨... 떡볶이에... 진리죠
P0 	: 저는 신전떡볶이도 좋아해요!!
P1 	: 하ㅠㅠㅠㅠ맞아요!!ㅠㅠㅠㅋㅋㅋㅋㅋㅋㅋ 신전도 너무 맛있잖아요
P1 	: 김밥...최고.
P1 	: 아시죠 아시죠ㅠㅠㅠㅠㅠㅠㅠ
P0 	: 어묵 튀김 찍어도 맛있고
P0 	: 김밥도 맛있고
P0 	: 신전 특유의 맛?이 있는데
P0 	: 그 맛이 너무 맛있어욬ㅋㅋㅋ
P1 	: 맞아요!ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 신전만 나는....그 맛이요!
P1 	: 진짜 맛있더라고요ㅠㅠㅠㅠㅠ 다른 떡볶이보다 신전이 넘사에요 진짜루...
P0 	: 떡볶이도 먹고싶네요ㅋㅋㅋㅋ
P0 	: 이것저것 먹고는 싶은데
P0 	: 다 못먹을때 뭔가 억울해욬ㅋㅋㅋㅋ
P1 	: 아 맞아요! 진짜 먹방하는 분들 가끔 너무 부러워요ㅠㅠㅋㅋㅋㅋㅋ
P0 	: 대단하신것같아요 ㅋㅋㅋㅋ 어떻게 저걸 다먹지?
P1 	: 저도 이것저것 막 시켜놓고 먹고싶은데 그게 안되더라고요!ㅠㅠ
P0 	: 뷔페가면 돈 안아깝겠다
P0 	: ㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋ맞아요ㅋㅋㅋㅋㅋㅋ 저는 뷔페가면 돈 아깝게 먹는 편이라는 소리 듣거든요ㅠㅠㅋㅋㅋㅋㅋ
P1 	: 이것저것 안먹고 먹던것만 먹는....
P1 	: ㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㅠㅠㅠㅠ 저두요ㅠㅠㅠㅋㅋㅋㅋ
