# FILE DATA
ID : MDRW2100003584
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210821
topic : 일상 트렌드>싸이월드 부활

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 경남
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 싸이월드 하셨었나요?
P0 	: 예전에 싸이월드 다이어리
P0 	: 엄청 열심히 썼던 기억이나요
P1 	: 그럼 부활하면 그게 다 남아있는 건가요?
P0 	: 근데 저도 그런줄 알았는데
P0 	: 다들 부활시켰다 이런말이
P0 	: 없더라구요?
P1 	: 헉 그럼 부활 안하는 건가요?
P1 	: 싸이월드 부활 이슈였던건 아는데
P0 	: 이게 개인정보 위반 이런이슈때문에
P0 	: 엄청 이슈더라구요
P0 	: 싸이월드 부활하면
P0 	: 흑역사 엄청날거같아요
P1 	: 그러게요ㅠㅠ
P1 	: 그게 지금까지 보존될수 있다는것도 신기하네요
P0 	: 그러니까요
P0 	: 저는 제 흑역사가 부활하는게
P0 	: 너무 싫어요 ㅋㅋㅋㅋ
P1 	: 저라도 그럴거같아요ㅠㅠ
P1 	: 저는 싸이월드를 안해봤어서
P1 	: 싸이월드 그래도 궁금하긴해요
P0 	: 아 진짜요?
P0 	: 저두 엄청 예전에 했던거라
P0 	: 기억이 잘 안나요 ㅋㅋ
P1 	: 도토리 같은거 있고ㅋㅋㅋ
P1 	: 캡쳐 꽤 봤는데 감성이 있더라구요 나름
P0 	: 맞아요 몽환의 숲 노래가
P0 	: 싸이월드 BGM으로 대박이었어요 ㅋㅋ
P1 	: 오 방금 검색해서 들어봤는데
P1 	: 많이 들어봤던 노래인 것 같아요
P0 	: 쉿 몽환의 숲
