# FILE DATA
ID : MDRW2100022279
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210829
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 인천
principal_residence : 인천
current_residence : 인천
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 기타
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 좀 어색해요
P1 	: ㅋㅋㅋㅋㅋ
P1 	: 안잡는건 아닌데
P0 	: 모에요
P1 	: 손 잡을래? 하고 잡는
P1 	: ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 밖에서 뽀뽀하는것도 아니고
P0 	: ㅋㅋㅋㅋㅋㅋ
P1 	: 그러니까요ㅋㅋㅋㅋㅋ
P0 	: 손잡을래 모에요 ㅋㅋㅋㅋ
P1 	: 둘다 좀 이러고 있어여
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 와 너무 오글거려요
P0 	: ㅋㅋㅋㅋㅋㅋ
P1 	: 그쳐??
P1 	: ㅋㅋㅋㅋㅋㅋ
P1 	: 그니까 오늘은 덥썩 해야지
P0 	: 오
P1 	: 뭔가 조심스러워하는 거 같아서
P0 	: 미션 성공하시고 알려주세요
P1 	: 제가 좀 어려워하고있어요ㅋㅋㅋㅋ
P0 	: 근데여
P0 	: 사실은....
P1 	: 넹
P0 	: 저도 여친이 먼저 잡음
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 앜ㅋㅋㅋㅋㅋㅋ
P1 	: 고백도 먼저하고 손도 먼저 잡고
P1 	: 어머 멋진 연하
P0 	: 그래서
P0 	: 아직도
P0 	: 그거가지고 얘기해요
P1 	: ㅋㅋㅋㅋㅋㅋㅋ
P0 	: 내가 고백도 먼저하고 손도 먼저잡고
P0 	: 한게 모야?
P1 	: 그러게요 뭐했어요!
P0 	: 사랑표현
P0 	: ㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋ
P1 	: 전 남친이 고백하면서
P1 	: 손!
P1 	: 이러길래 손 잡은건데
P1 	: 생각해보니 좀 반려동물같네요
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 이리온
P1 	: ㅋㅋㅋㅋㅋㅋ
P0 	: 저보다 낫네요
P0 	: ㅋㅋㅋㅋㅋ
P1 	: 아니 연애 경험 없지도 않은데 왜 그랬어요
P0 	: 제가 죄인이죠 머....
P0 	: ㅜㅜ
P0 	: 이상하게 지금 여친한테는
P0 	: 모든게 조심스러웠어요 ㅋㅋ
P1 	: 아 조심스러운 사람이 있죠?
P1 	: 저도 지금 그래요!!
P0 	: 그래서
P0 	: 손잡을래?
P0 	: 하시는거에요?
P0 	: ㅋㅋㅋㅋㅋ
P1 	: 영화관에서 손잡고 있는데도 덜덜 떠는거에요!!
P0 	: 누가요?
P1 	: 남친이..
P1 	: 떨림이 전해져왔어요
P0 	: 와 ㅋㅋㅋ
P0 	: 두근두근하나보다
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 넼ㅋㅋㅋㅋㅋㅋ
P1 	: 지금 둘다 심장 터져서 사실
P0 	: ㅋㅋㅋㅋㅋㅋ
P1 	: 잠깐 만나도 심장아파요..
P0 	: 모에요 ㅋㅋㅋㅋㅋ
P1 	: 모르겠어요 왜이러지ㅋㅋㅋㅋㅋ
P0 	: 심장 터질거 같아요?
P0 	: 뽀뽀라도 하면
P0 	: 난리날거 같은데
P0 	: ㅋㅋㅋㅋㅋ
P0 	: 이게 일주일차 커플인가
P1 	: ㅋㅋㅋㅋㅋㅋ
P1 	: 어우 뽀뽀는 어떠켕 못해요
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 저 생각났어요
P1 	: 저 사실 지난 연애는 그냥 두근거림없이 엄청 편한 사람 만낫던거라서
P1 	: 이번 연애가 적응안되여
