# FILE DATA
ID : MDRW2100026178
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 콘텐츠>도서, 잡지

# SPEAKER_INFO
id : 1
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경남
principal_residence : 경남
current_residence : 제주
device : PC(데스크탑/노트북)
keyboard : 2벌식(쿼티)

id : 2
age : 30대
occupation : 사무 종사자
sex : 남성
birthplace : 부산
principal_residence : 제주
current_residence : 제주
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 우당보다는
P1 	: 제주학생문화원가세요
P1 	: 도서관 중 가깝습니다
P0 	: 오 제인오스틴도 나이가 들면서 새롭게 읽히는 명작이죠
P0 	: 영화도 꽤 재미있었던 듯 키이라나이틀리 나온거요
P0 	: 마크다아시~~
P1 	: 네. 옷이며 풍경이며 볼게 많아요
P1 	: 멋진 다아시ㅎ
P0 	: 책읽은거좋아하시는분이시군여
P0 	: 하하
P1 	: 네 독서는 제 낙이에요^^
P0 	: 김영하 작가님은 어떠신가요
P1 	: 음 두사람이랑
P1 	: 살인자의추억법 봤는데
P1 	: 검은꽃은 보다말고
P0 	: 책보다는 작가님이 더 매력있죠
P1 	: 소설은 좀 어두워서 제 취향은 아니에요.
P0 	: 목소리 좋으시구
P0 	: ㅋㅋ
P1 	: 그 유럽 여행하신그 책
P1 	: 에세이는 좋았어요
P0 	: 네 저도 봤어요
P0 	: 사진이 한장인가 있는데
P1 	: 네^^
P1 	: 참 양귀자 진짜좋아해요
P1 	: '모순'보다는
P0 	: 오 대표작인 어떤게 있을까요
P1 	: '희망'을 더 좋아해요
P1 	: 천년의 사랑도 좋고
P0 	: 그렇군요
P1 	: 모순도 많은이들의 인생작이에요
P1 	: 저는 희망  강추추
P0 	: 직접 글은 안하세요?
