# FILE DATA
ID : MDRW2100026374
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210901
topic : 식음료

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 기술직 종사자
sex : 여성
birthplace : 부산
principal_residence : 부산
current_residence : 부산
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 정답이 뭐였어???
P1 	: 나못봄
P0 	: 정답은 스시였습니다
P0 	: 핫하
P1 	: 육류잖아
P0 	: 육류와 해산물은 다른 품목이랍니다
P1 	: 젠장!!!!!
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 맞추기 놀이 하니까 빨리 찬다
P0 	: 먹을거 얘기 하니까 마음이 두둑해지네
P0 	: 이번엔 니가 생각하는 음식 맞춰볼게
P1 	: 너무힘드네 육류인지 해산물인지도
P1 	: 갈래가 꽤나 나뉜다
P1 	: 좋아 나 정했어
P0 	: 좋아 간다
P0 	: 양식이야?
P1 	: 아니
P0 	: 한식이야?
P1 	: 한식이야
P0 	: 돼지고기 들어가?
P1 	: 응 들어가 자주
P0 	: 자주 들어간다면 반대로 안 들어갈 때도 있다는 거네?
P0 	: 돼지고기 없는 버전도 있다는거지?
P1 	: 응 맞아 안들어갈때도있어
P0 	: 빨간 색이야?
P1 	: 응 맞아
P1 	: 빨간색음식이야
P0 	: 야채 들어가?
