# FILE DATA
ID : MDRW2100028777
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210902
topic : 식음료

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경기
device : 스마트폰
keyboard : 천지인

id : 2
age : 30대
occupation : 기술직 종사자
sex : 남성
birthplace : 경북
principal_residence : 대구
current_residence : 경남
device : 스마트폰
keyboard : 나랏글

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 저보다 영 하시지 않습니까
P1 	: 그정도면 날아다닙니다
P1 	: 저는 옥수수차를 좋아했서요
P0 	: 영ㅋㅋㅋ
P0 	: 옥수수차도 맛있죠ㅎㅎ
P1 	: 영어 실력이 영아이네요
P1 	: 제가 영어가 약하드라구요
P0 	: 그리고 손에 쥐어지는 합격 목걸이
P0 	: 아 이거 짤 첨부해야 하는데ㅜㅇㅜ
P1 	: 아 짤 가지고싶다
P0 	: 특히 제리짤
P1 	: 오 졸귀
P1 	: 아깝네요
P1 	: 블라인드에서
P1 	: 가끔 줍줍했는데
P1 	: 주시면 잘 받아쓸건데 ㅠ
P1 	: 젤리먹고싶네요
P0 	: ㅜㅇㅜ 합격목걸이도 텍스트가 아닌 짤이어야 하는데
P0 	: 아니ㅋㅋ
P1 	: 식음료라 ㅠ
P0 	: 무슨 젤리 좋아하나요 하리보?
P1 	: 하리보 그
P1 	: 안에 쨈같은거 든거 있져?
P1 	: 흰색 바탕에
P0 	: 네네 그거 맛있죠ㅋ
P1 	: 전 그거 좋아하구요
P1 	: 그리고 마이구미도 아이셔 젤리?
P0 	: 마이구미 맛있죠!
