# FILE DATA
ID : MDRW2100045385
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210908
topic : 공연 및 관람>공연/전시회 및 관람

# SPEAKER_INFO
id : 1
age : 30대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 나랏글

id : 2
age : 30대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

# SETTING
relation  :  학교/학원>동기/동창/동급생
intimacy  :  4
contact_frequency  :  (거의) 매일 연락한다.

P1 	: 컨프롱이라도 낮에 봐야하나..
P1 	: 아 그거 아직
P1 	: 스케줄 안떴어
P0 	: ㅇㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 아하
P1 	: 내놔 빨리ㅡㅡ
P0 	: 보고싶어 그거도
P0 	: 아 헤드윅
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ그게
P0 	: 오슷나올거같은데
P1 	: 초연작인데다
P0 	: 티켓팅 미리부탁..
P1 	: 30분 어치가 코로나때문에 썰려서
P0 	: 드립니다
P0 	: 아하...
P0 	: 왜.........
P1 	: 처음보시면 좀 ??? 되실수도 잇는데
P1 	: 제가 최대한 설명충은.. 해드리겟습니다
P0 	: 네네ㅔㄴㅇ
P1 	: 헤드윅 오슷도 티켓팅 필요해...?
P0 	: 같이볼수있ㅇ면 보아여
P1 	: 아님 아얘
P0 	: ㅇㅇ.. 재고포비아
P1 	: ㅇㅇㅇㅇ
P1 	: 같이 봐도 되겟더
P1 	: 같이 볼 장소가
P1 	: 애매하긴 한데
P1 	: 아님 전에 킹덤 볼때처럼 봐도 되고..
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 작업실
P0 	: 에서 봐여
P0 	: ㅋㅋㅋㅋㅋㅋ아 그래도되지
P0 	: 마자 킹덤
P1 	: 아 왓챠도
P0 	: 그렇게보는거재밌었어
P1 	: 티비재생 되나...?
P0 	: 왓챠가
P0 	: 같이보기가되는데
P0 	: 서비스되는거만 가능일거야
P1 	: 아하
P1 	: 일단 올라와봐야 알겟네...
P0 	: 재밌는건 알아가지고
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 나중에 달려도 좋고
P0 	: 저번에 보면서 달리니까 재밌더라고여
P0 	: 캉덤
P1 	: ㅋㅋㅋㅋㅋㅋ좋아여
P1 	: 네네
