# FILE DATA
ID : MDRW2100009615
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210823
topic : 학교 생활

# SPEAKER_INFO
id : 1
age : 20대
occupation : 학생
sex : 여성
birthplace : 전남
principal_residence : 전남
current_residence : 전남
device : 스마트폰
keyboard : 천지인

id : 2
age : 20대
occupation : 학생
sex : 여성
birthplace : 경기
principal_residence : 경기
current_residence : 경남
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P0 	: 약간
P0 	: 학교에서 다 배운걸
P0 	: 또 가서 또 배우니까 흥미도없고
P0 	: 사실 대학이라는 곳이..
P1 	: 아 그렇겠네요
P0 	: 진짜 말만 대학이고
P1 	: 고등학교 때 이미 마스터했으니
P0 	: 가르치는건 음.. 싶은거 있잖아요
P1 	: 가라판으로 돌아가던가요?
P0 	: 맞아요
P1 	: 사실 교대도 그렇긴 해요
P1 	: 음......
P0 	: 어디든 다 비슷한가봐요ㅋㅋ
P1 	: 그니까요
P1 	: 전 다른 대학 다니는 친구들
P0 	: 진짜 돈을 버린다면 버리는..느낌
P1 	: 부러웠던 게
P1 	: 뭔가 있어보이더라고요
P1 	: 저희는
P1 	: 개나리 노란 꽃그늘 아래
P1 	: 이런 노래 맞춰서
P0 	: 가지런히  놓여있는 꼬까신하나
P1 	: 율동 짜고 있고
P1 	: 네 그거요
P0 	: ㅋㅋㅋㅋㅋㅋㅋ
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P1 	: 실과 시간에 토마토 키우고
P0 	: 그거 좋아보이는데
P1 	: 수영 배우고
P0 	: 괜찮은데?
P1 	: 아 그게 그나마 재밌었어요
P1 	: 이 두개가
P1 	: 피아노랑 무용 코딩이 진짜 힘들었고
