# FILE DATA
ID : MDRW2100021591
category :  온라인 대화 > 2인 대화

# DOCUMENT DATA
title : 온라인 대화
author : 개인 대화 참여자
publisher : 심심이
date : 20210828
topic : 연애와 결혼

# SPEAKER_INFO
id : 1
age : 20대
occupation : 무직/취업 준비생
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 2벌식(쿼티)

id : 2
age : 20대
occupation : 사무 종사자
sex : 여성
birthplace : 서울
principal_residence : 서울
current_residence : 서울
device : 스마트폰
keyboard : 천지인

# SETTING
relation  :  낯선 사람
intimacy  :  0
contact_frequency  :  처음 연락한다

P1 	: 아아넼ㅋㅋㅋㅋ
P0 	: 얘기만 들어도 좋은분이네요
P1 	: 저는 지인들 모임에서 만났어요
P1 	: 자연스러운 만남이라서 더 좋았어요 ㅋㅋㅋ
P1 	: &name1&도 모임이나 동호회같은거 들어보세요!
P1 	: 자주보면서 알아가기도 쉽고 장점이 많더라구요
P0 	: 오 어떤 모임이었어요?
P1 	: 물론 사귀다 헤어지면 그 모임은 끝입니다..
P0 	: 아
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 결혼전까진 사귀는걸 비밀로 하면 어떤가요
P1 	: 친목도모 하는 모임이었어요!
P1 	: 오오 비밀연애도 좋죠
P1 	: 재밌을거같아요 ㅎㅎ
P0 	: ㅋㅋㅋㅋ &name2&은 바로 밝히셨어요?
P1 	: 네.. 의도한건아닌데 금방 다 알더라구요
P0 	: ㅋㅋㅋㅋㅋㅋㅋ 기침하고 사랑은 못 숨긴다고 하잖아요
P1 	: 식성 잘맞는 류준열  vs 식성 정반대인 주지훈
P1 	: 밥따로먹고오기 안돼여
P0 	: 류준열이요
P0 	: 저 먹는거 포기 못해요
P1 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 맛있는건 같이 먹고 싶어요
P1 	: 식성맞는거 진짜 중요하더라구욬ㅋㅋㅋ
P1 	: 맞아여
P0 	: 저 예전에 친구들이랑 밥먹는데
P0 	: 제가 두부를 엄청 좋아하거든요
P0 	: 그래서 퍼서 친구들한테 나눠주고
P0 	: 남자애들이 자기 좋아한다고 소문냈어요
P1 	: 에에 ㅋㅋㅋㅋㅋㅋ
P0 	: 너무 기쁜표정으로 퍼주고 있었대요
P0 	: ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
P0 	: 저는 몰랐어요 ㅋㅋㅋ 그정도로 음식에 진심입니자
P0 	: 다
P1 	: 두부먹을생각에 기뻤던건데
P1 	: 그렇게소문이나네옄ㅋㅋㅋㅋ
P0 	: 제가 좋아하니까 다들 좋아할거라고 생각하고 챙겨준거거든요
P0 	: 암튼 먹는거 진짜 중요해요 저..ㅋㅋㅋ
P1 	: 그렇다면..
P1 	: 입짧은 기안 vs 한입만충 정해인
P1 	: &name1&꺼 뺏어먹는거에요
P0 	: 같이 먹는건 상관없는데 안먹는다 해놓고 먹는건가요?
P1 	: 넼ㅋㅋㅋㅋ
P1 	: 매번그러는거에요
P1 	: 선택은?!?!?!
P0 	: 아 근데 먹는게 중요하긴한데 먹을거에 집착하는편은 아니라...
P0 	: 정해인 할래요
P0 	: 입짧은것도 싫어욬ㅋㅋ
P1 	: 아진짜여?!ㅋㅋㅋㅋㅋ
P1 	: 저도 정해인이긴한데
P0 	: 저 잘먹는 사람 좋아해요
P1 	: 입짧으면 제가 조아하는거 더 먹을수있잖아욬ㅋㅋㅋ
P0 	: 아 ㅋㅋㅋㅋㅋ 저는 같이 먹는게 좋아요
P1 	: ㅎㅎ좋습니다,,
P1 	: 이거 재밌네욬ㅋㅋㅋㅋ
P0 	: 그니까요ㅋㅋㅋㅋ &name2&이 밸런스게임을 너무 재밌게 내셔서
P0 	: 즐거워요
